TR Period,TR Start Date,TR End Date,Country/Region,Account Preservation Requests Received,Accounts Specified in Requests,Accounts where Data Preserved
2016 H2,7/1/16,12/31/16,Austria,1,1,0
2016 H2,7/1/16,12/31/16,Belgium,1,2,0
2016 H2,7/1/16,12/31/16,Brazil,1,1,1
2016 H2,7/1/16,12/31/16,Canada,8,11,11
2016 H2,7/1/16,12/31/16,Denmark,1,1,0
2016 H2,7/1/16,12/31/16,France,4,6,4
2016 H2,7/1/16,12/31/16,Germany,9,15,14
2016 H2,7/1/16,12/31/16,India,1,1,0
2016 H2,7/1/16,12/31/16,Ireland,1,2,2
2016 H2,7/1/16,12/31/16,Mexico,1,1,1
2016 H2,7/1/16,12/31/16,Moldova,1,1,1
2016 H2,7/1/16,12/31/16,Netherlands,1,8,8
2016 H2,7/1/16,12/31/16,Norway,1,1,1
2016 H2,7/1/16,12/31/16,Poland,1,1,0
2016 H2,7/1/16,12/31/16,Portugal,1,1,1
2016 H2,7/1/16,12/31/16,Slovenia,1,1,1
2016 H2,7/1/16,12/31/16,South Africa,1,1,1
2016 H2,7/1/16,12/31/16,Sweden,2,3,3
2016 H2,7/1/16,12/31/16,Ukraine,1,3,3
2016 H2,7/1/16,12/31/16,United Kingdom,22,29,25
2016 H2,7/1/16,12/31/16,United States of America,741,1475,1019
2017 H1,1/1/17,6/30/17,Brazil,2,3,2
2017 H1,1/1/17,6/30/17,Canada,13,19,15
2017 H1,1/1/17,6/30/17,Germany,3,4,4
2017 H1,1/1/17,6/30/17,Ireland,4,5,4
2017 H1,1/1/17,6/30/17,Italy,1,3,2
2017 H1,1/1/17,6/30/17,Luxembourg,2,2,1
2017 H1,1/1/17,6/30/17,Netherlands,1,1,1
2017 H1,1/1/17,6/30/17,New Zealand,2,2,0
2017 H1,1/1/17,6/30/17,Norway,1,1,1
2017 H1,1/1/17,6/30/17,Portugal,1,4,4
2017 H1,1/1/17,6/30/17,Spain,1,1,1
2017 H1,1/1/17,6/30/17,Sweden,9,11,9
2017 H1,1/1/17,6/30/17,Turkey,1,1,1
2017 H1,1/1/17,6/30/17,United Kingdom,34,62,49
2017 H1,1/1/17,6/30/17,United States of America,1033,2087,1554
2017 H2,7/1/17,12/31/17,Australia,3,4,3
2017 H2,7/1/17,12/31/17,Brazil,3,3,3
2017 H2,7/1/17,12/31/17,Canada,11,14,11
2017 H2,7/1/17,12/31/17,Finland,2,4,2
2017 H2,7/1/17,12/31/17,France,1,1,1
2017 H2,7/1/17,12/31/17,Germany,18,27,16
2017 H2,7/1/17,12/31/17,Ireland,1,1,1
2017 H2,7/1/17,12/31/17,Italy,1,1,1
2017 H2,7/1/17,12/31/17,Lithuania,1,1,0
2017 H2,7/1/17,12/31/17,Luxembourg,2,4,3
2017 H2,7/1/17,12/31/17,Netherlands,4,6,4
2017 H2,7/1/17,12/31/17,Portugal,2,2,2
2017 H2,7/1/17,12/31/17,Spain,1,1,0
2017 H2,7/1/17,12/31/17,Sweden,13,24,22
2017 H2,7/1/17,12/31/17,Turkey,1,3,3
2017 H2,7/1/17,12/31/17,United Kingdom,28,43,37
2017 H2,7/1/17,12/31/17,United States of America,1122,2408,1743
2018 H1,1/1/18,6/30/18,Armenia,2,2,1
2018 H1,1/1/18,6/30/18,Australia,10,28,11
2018 H1,1/1/18,6/30/18,Azerbaijan,1,3,1
2018 H1,1/1/18,6/30/18,Belgium,2,2,1
2018 H1,1/1/18,6/30/18,Brazil,2,2,1
2018 H1,1/1/18,6/30/18,Canada,11,20,18
2018 H1,1/1/18,6/30/18,France,1,1,1
2018 H1,1/1/18,6/30/18,Germany,13,15,13
2018 H1,1/1/18,6/30/18,India,1,10,8
2018 H1,1/1/18,6/30/18,Italy,1,3,1
2018 H1,1/1/18,6/30/18,Moldova,1,1,0
2018 H1,1/1/18,6/30/18,Netherlands,1,1,1
2018 H1,1/1/18,6/30/18,Norway,1,1,0
2018 H1,1/1/18,6/30/18,Poland,1,1,1
2018 H1,1/1/18,6/30/18,Sweden,6,16,4
2018 H1,1/1/18,6/30/18,Switzerland,3,3,2
2018 H1,1/1/18,6/30/18,Ukraine,1,1,1
2018 H1,1/1/18,6/30/18,United Kingdom,27,66,52
2018 H1,1/1/18,6/30/18,United States of America,1494,3857,2685
