TR Period,TR Start Date,TR End Date,Country/Region,Emergency Requests Received,Requests Rejected/Challenged and No Data Provided,Requests where No Data Provided,Requests where Data Provided,Percentage of Requests where Data Provided
2015 H1,1/1/15,6/30/15,Austria,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Belgium,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Brazil,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Canada,14, -, -, -, -
2015 H1,1/1/15,6/30/15,France,7, -, -, -, -
2015 H1,1/1/15,6/30/15,Germany,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Greece,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Hungary,1, -, -, -, -
2015 H1,1/1/15,6/30/15,India,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Ireland,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Italy,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Japan,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Monaco,2, -, -, -, -
2015 H1,1/1/15,6/30/15,Netherlands,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Spain,1, -, -, -, -
2015 H1,1/1/15,6/30/15,Sweden,2, -, -, -, -
2015 H1,1/1/15,6/30/15,United Kingdom,98, -, -, -, -
2015 H1,1/1/15,6/30/15,United States of America,107, -, -, -, -
2015 H2,7/1/15,12/31/15,Australia,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Canada,6, -, -, -, -
2015 H2,7/1/15,12/31/15,Chile,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Denmark,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Finland,1, -, -, -, -
2015 H2,7/1/15,12/31/15,France,4, -, -, -, -
2015 H2,7/1/15,12/31/15,Germany,3, -, -, -, -
2015 H2,7/1/15,12/31/15,Ireland,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Italy,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Japan,2, -, -, -, -
2015 H2,7/1/15,12/31/15,Nepal,1, -, -, -, -
2015 H2,7/1/15,12/31/15,Netherlands,3, -, -, -, -
2015 H2,7/1/15,12/31/15,Switzerland,2, -, -, -, -
2015 H2,7/1/15,12/31/15,United Kingdom,43, -, -, -, -
2015 H2,7/1/15,12/31/15,United States of America,106, -, -, -, -
2016 H1,1/1/16,6/30/16,Canada,4, -, -, -, -
2016 H1,1/1/16,6/30/16,China,1, -, -, -, -
2016 H1,1/1/16,6/30/16,France,3, -, -, -, -
2016 H1,1/1/16,6/30/16,India,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Ireland,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Italy,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Netherlands,3, -, -, -, -
2016 H1,1/1/16,6/30/16,Pakistan,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Slovenia,1, -, -, -, -
2016 H1,1/1/16,6/30/16,Sweden,1, -, -, -, -
2016 H1,1/1/16,6/30/16,United Kingdom,58, -, -, -, -
2016 H1,1/1/16,6/30/16,United States of America,96, -, -, -, -
2016 H2,7/1/16,12/31/16,Australia,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Brazil,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Canada,13,0,2,11,85%
2016 H2,7/1/16,12/31/16,Denmark,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Ecuador,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,France,6,0,1,5,83%
2016 H2,7/1/16,12/31/16,Germany,4,0,0,4,100%
