Pixel;Row;Correction Value Signed;Correction Value Unsigned
2014;1;7;7
2013;3;7;7
2012;0;7;7
2011;2;7;7
2010;1;7;7
2009;3;7;7
2008;0;7;7
2007;2;7;7
2006;1;7;7
2005;3;7;7
2004;0;7;7
2003;2;7;7
2002;1;7;7
2001;3;7;7
2000;0;7;7
1999;2;7;7
1998;1;7;7
1997;3;7;7
1996;0;7;7
1995;2;7;7
1994;1;7;7
1993;3;7;7
1992;0;7;7
1991;2;7;7
1990;1;7;7
1989;3;7;7
1988;0;7;7
1987;2;7;7
1986;1;7;7
1985;3;7;7
1984;0;7;7
1983;2;7;7
1982;1;7;7
1981;3;7;7
1980;0;7;7
1979;2;7;7
1978;1;7;7
1977;3;7;7
1976;0;7;7
1975;2;7;7
1974;1;7;7
1973;3;7;7
1972;0;7;7
1971;2;7;7
1970;1;7;7
1969;3;7;7
1968;0;7;7
1967;2;7;7
1966;1;7;7
1965;3;7;7
1964;0;7;7
1963;2;7;7
1962;1;7;7
1961;3;7;7
1960;0;7;7
1959;2;7;7
1958;1;7;7
1957;3;7;7
1956;0;7;7
1955;2;7;7
1954;1;7;7
1953;3;7;7
1952;0;7;7
1951;2;7;7
1950;1;7;7
1949;3;7;7
1948;0;7;7
1947;2;7;7
1946;1;7;7
1945;3;7;7
1944;0;7;7
1943;2;7;7
1942;1;7;7
1941;3;7;7
1940;0;7;7
1939;2;7;7
1938;1;7;7
1937;3;7;7
1936;0;7;7
1935;2;7;7
1934;1;7;7
1933;3;7;7
1932;0;7;7
1931;2;7;7
1930;1;7;7
1929;3;7;7
1928;0;7;7
1927;2;7;7
1926;1;7;7
1925;3;7;7
1924;0;7;7
1923;2;7;7
1922;1;7;7
1921;3;7;7
1920;0;7;7
1919;2;7;7
1918;1;7;7
1917;3;7;7
1916;0;7;7
1915;2;7;7
1914;1;7;7
1913;3;7;7
1912;0;7;7
1911;2;7;7
1910;1;7;7
1909;3;7;7
1908;0;7;7
1907;2;7;7
1906;1;7;7
1905;3;7;7
1904;0;7;7
1903;2;7;7
1902;1;7;7
1901;3;7;7
1900;0;7;7
1899;2;7;7
1898;1;7;7
1897;3;7;7
1896;0;7;7
1895;2;7;7
1894;1;7;7
1893;3;7;7
1892;0;7;7
1891;2;7;7
1890;1;7;7
1889;3;7;7
1888;0;7;7
1887;2;7;7
1886;1;7;7
1885;3;7;7
1884;0;7;7
1883;2;7;7
1882;1;7;7
1881;3;7;7
1880;0;7;7
1879;2;7;7
1878;1;7;7
1877;3;7;7
1876;0;7;7
1875;2;7;7
1874;1;7;7
1873;3;7;7
1872;0;7;7
1871;2;7;7
1870;1;7;7
1869;3;7;7
1868;0;7;7
1867;2;7;7
1866;1;7;7
1865;3;7;7
1864;0;7;7
1863;2;7;7
1862;1;7;7
1861;3;7;7
1860;0;7;7
1859;2;7;7
1858;1;7;7
1857;3;7;7
1856;0;7;7
1855;2;7;7
1854;1;7;7
1853;3;7;7
1852;0;7;7
1851;2;7;7
1850;1;7;7
1849;3;7;7
1848;0;7;7
1847;2;7;7
1846;1;7;7
1845;3;7;7
1844;0;7;7
1843;2;7;7
1842;1;7;7
1841;3;7;7
1840;0;7;7
1839;2;7;7
1838;1;7;7
1837;3;7;7
1836;0;7;7
1835;2;7;7
1834;1;7;7
1833;3;7;7
1832;0;7;7
1831;2;7;7
1830;1;7;7
1829;3;7;7
1828;0;7;7
1827;2;7;7
1826;1;7;7
1825;3;7;7
1824;0;7;7
1823;2;7;7
1822;1;7;7
1821;3;7;7
1820;0;7;7
1819;2;7;7
1818;1;7;7
1817;3;6;6
1816;0;8;8
1815;2;7;7
1814;1;7;7
1813;3;6;6
1812;0;8;8
1811;2;7;7
1810;1;7;7
1809;3;6;6
1808;0;8;8
1807;2;7;7
