Pixel;Row;Correction Value Signed;Correction Value Unsigned
1022;1;15;15
1021;3;7;7
1020;0;19;19
1019;2;11;11
1018;1;15;15
1017;3;7;7
1016;0;19;19
1015;2;11;11
1014;1;15;15
1013;3;7;7
1012;0;19;19
1011;2;11;11
1010;1;15;15
1009;3;7;7
1008;0;19;19
1007;2;11;11
1006;1;15;15
1005;3;7;7
1004;0;19;19
1003;2;11;11
1002;1;15;15
1001;3;7;7
1000;0;19;19
999;2;11;11
998;1;15;15
997;3;7;7
996;0;19;19
995;2;11;11
994;1;15;15
993;3;7;7
992;0;19;19
991;2;11;11
990;1;15;15
989;3;7;7
988;0;19;19
987;2;11;11
986;1;15;15
985;3;7;7
984;0;19;19
983;2;11;11
982;1;15;15
981;3;7;7
980;0;19;19
979;2;11;11
978;1;15;15
977;3;7;7
976;0;19;19
975;2;11;11
974;1;15;15
973;3;7;7
972;0;19;19
971;2;11;11
970;1;15;15
969;3;7;7
968;0;19;19
967;2;11;11
966;1;15;15
965;3;7;7
964;0;19;19
963;2;11;11
962;1;15;15
961;3;7;7
960;0;19;19
959;2;11;11
958;1;15;15
957;3;7;7
956;0;19;19
955;2;11;11
954;1;15;15
953;3;7;7
952;0;19;19
951;2;11;11
950;1;15;15
949;3;7;7
948;0;19;19
947;2;11;11
946;1;15;15
945;3;7;7
944;0;19;19
943;2;11;11
942;1;15;15
941;3;7;7
940;0;19;19
939;2;11;11
938;1;15;15
937;3;7;7
936;0;19;19
935;2;11;11
934;1;15;15
933;3;7;7
932;0;19;19
931;2;11;11
930;1;15;15
929;3;7;7
928;0;19;19
927;2;11;11
926;1;16;16
925;3;7;7
924;0;19;19
923;2;10;10
922;1;16;16
921;3;7;7
920;0;19;19
919;2;10;10
918;1;16;16
917;3;7;7
916;0;19;19
915;2;10;10
914;1;16;16
913;3;7;7
912;0;19;19
911;2;10;10
910;1;16;16
909;3;7;7
908;0;19;19
907;2;10;10
906;1;16;16
905;3;7;7
904;0;19;19
903;2;10;10
902;1;16;16
901;3;7;7
900;0;19;19
899;2;10;10
898;1;16;16
897;3;7;7
896;0;19;19
895;2;10;10
894;1;16;16
893;3;7;7
892;0;19;19
891;2;10;10
890;1;16;16
889;3;6;6
888;0;20;20
887;2;10;10
886;1;16;16
885;3;6;6
884;0;20;20
883;2;10;10
882;1;16;16
881;3;6;6
880;0;20;20
879;2;10;10
878;1;16;16
877;3;6;6
876;0;20;20
