Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
3008;1;4;4;0;0;0.0
3007;3;4;4;0;-1;-0.0011766441820597606
3006;0;4;4;1;0;0.002353426821425586
3005;2;4;4;0;-1;-0.0014121391770096636
3004;1;4;4;1;0;0.0018829630279260101
3003;3;4;4;0;-1;-0.005884605727736414
3002;0;4;4;1;0;0.0070619424407531994
3001;2;4;4;0;-1;-0.003295767093328905
3000;1;4;4;1;0;0.003766812651969431
2999;3;4;4;0;-1;-0.010594784155024684
2998;0;4;4;1;0;0.011772675333102
2997;2;4;4;0;-1;-0.005180282075459175
2996;1;4;4;1;0;0.0056515494984630266
2995;3;4;4;0;-1;-0.015307181030120631
2994;0;4;4;1;0;0.01648562706504464
2993;2;4;4;0;-1;-0.007065684750175549
2992;1;4;4;1;0;0.007537174194327534
2991;3;4;4;0;-1;-0.0200217979207018
2990;0;4;4;1;0;0.021200799204617482
2989;2;4;4;0;-1;-0.008951975744841079
2988;1;4;4;1;0;0.009423687367073441
2987;3;4;4;0;-1;-0.024738636395913005
2986;0;4;4;1;0;0.02591819332134193
2985;2;4;4;0;-1;-0.010839155687406787
2984;1;4;4;1;0;0.011311089644802763
2983;3;4;4;0;-1;-0.02945769802637699
2982;0;4;4;1;0;0.030637810986199554
2981;2;4;4;0;-1;-0.012727225206422332
2980;1;4;4;1;0;0.013199381656210818
2979;3;4;4;0;-1;-0.03417898438420153
2978;0;4;4;1;0;0.03535965377168182
2977;2;4;4;0;-1;-0.01461618493102712
2976;1;4;4;1;0;0.015088564030586227
2975;3;4;4;0;-1;-0.038902497042982986
2974;0;4;4;1;0;0.040083723251751024
2973;2;4;4;0;-1;-0.016506035490953863
2972;1;4;4;1;0;0.01697863739780736
2971;3;4;4;0;-1;-0.04362823757778855
2970;0;4;4;1;0;0.044810021001843836
2969;2;4;4;0;-1;-0.018396777516528573
2968;1;4;4;1;0;0.018869602388353002
2967;3;4;4;0;-1;-0.04835620756518111
2966;0;4;4;1;0;0.04953854859889617
2965;2;4;4;0;-1;-0.020288411638672343
2964;1;4;4;1;0;0.02076145963329168
2963;3;4;4;0;-1;-0.05308640858321212
2962;0;4;4;1;0;0.054269307621325424
2961;2;4;4;0;-1;-0.0221809384889049
2960;1;4;4;1;0;0.02265420976428878
2959;3;4;4;0;-1;-0.05781884221141809
2958;0;4;4;1;0;0.05900229964904824
2957;2;4;4;0;-1;-0.024074358699337495
2956;1;4;4;1;0;0.0245478534136101
2955;3;4;4;0;-1;-0.06255351003082055
2954;0;4;4;1;0;0.06373752626346985
2953;2;4;4;0;-1;-0.025968672902683565
2952;1;4;4;1;0;0.02644239121411296
2951;3;4;4;0;-1;-0.06729041362395449
2950;0;4;4;1;0;0.06847498904747695
2949;2;4;4;0;-1;-0.0278638817322463
2948;1;4;4;1;0;0.028337823799256867
2947;3;4;4;0;-1;-0.07202955457482929
2946;0;4;4;1;0;0.07321468958546973
2945;2;4;4;0;-1;-0.02975998582193462
2944;1;4;4;1;0;0.030234151803094633
2943;3;4;4;0;-1;-0.07677093446896777
2942;0;4;4;1;0;0.07795662946332627
2941;2;4;4;0;-1;-0.03165698580625431
2940;1;4;4;1;0;0.032131375860284805
2939;3;4;4;0;-1;-0.08151455489337067
2938;0;4;4;1;0;0.08270081026844167
2937;2;4;4;0;-1;-0.03355488232030979
2936;1;4;4;1;0;0.03402949660607746
2935;3;4;4;0;-1;-0.08626041743655577
2934;0;4;4;1;0;0.08744723358970674
2933;2;4;4;0;-1;-0.03545367599980587
2932;1;4;4;1;0;0.035928514676333734
2931;3;4;4;0;-1;-0.09100852368854362
2930;0;4;4;1;0;0.09219590101750796
2929;2;4;4;0;-1;-0.03735336748104956
2928;1;4;4;1;0;0.037828430707508076
2927;3;4;4;0;-1;-0.09575887524084337
2926;0;4;4;1;0;0.09694681414374529
2925;2;4;4;0;-1;-0.03925395740095006
2924;1;4;4;1;0;0.03972924533666067
2923;3;4;4;0;-1;-0.10051147368648827
2922;0;4;4;1;0;0.10169997456181079
2921;2;4;4;0;-1;-0.041155446397018736
2920;1;4;4;1;0;0.0416309592014521
