Pixel;Row;Correction Value Signed;Correction Value Unsigned
33;1;12;12
32;3;1;1
31;0;17;17
30;2;6;6
29;1;12;12
28;3;0;0
27;0;18;18
26;2;6;6
25;1;12;12
24;3;0;0
23;0;18;18
22;2;6;6
21;1;12;12
20;3;0;0
19;0;18;18
18;2;6;6
17;1;12;12
16;3;0;0
15;0;18;18
14;2;6;6
13;1;12;12
12;3;0;0
11;0;18;18
10;2;6;6
9;1;12;12
8;3;0;0
7;0;18;18
6;2;6;6
5;1;12;12
4;3;0;0
3;0;18;18
2;2;6;6
1;1;12;12
991;3;9;9
990;2;9;9
989;1;9;9
988;0;9;9
987;3;9;9
986;2;9;9
985;1;9;9
984;0;9;9
983;3;9;9
982;2;9;9
981;1;9;9
980;0;9;9
979;3;9;9
978;2;9;9
977;1;9;9
976;0;9;9
975;3;9;9
974;2;9;9
973;1;9;9
972;0;9;9
971;3;9;9
970;2;9;9
969;1;9;9
968;0;9;9
967;3;9;9
966;2;9;9
965;1;9;9
964;0;9;9
963;3;9;9
962;2;9;9
961;1;9;9
960;0;9;9
959;3;9;9
958;2;9;9
957;1;9;9
956;0;9;9
955;3;9;9
954;2;9;9
953;1;9;9
952;0;9;9
951;3;9;9
950;2;9;9
949;1;9;9
948;0;9;9
947;3;9;9
946;2;9;9
945;1;9;9
944;0;9;9
943;3;9;9
942;2;9;9
941;1;9;9
940;0;9;9
939;3;9;9
938;2;9;9
937;1;9;9
936;0;9;9
935;3;9;9
934;2;9;9
933;1;9;9
932;0;9;9
931;3;9;9
930;2;9;9
929;1;9;9
928;0;9;9
927;3;9;9
926;2;9;9
925;1;9;9
924;0;9;9
923;3;9;9
922;2;9;9
921;1;9;9
920;0;9;9
919;3;9;9
918;2;9;9
917;1;9;9
916;0;9;9
915;3;9;9
914;2;9;9
913;1;9;9
912;0;9;9
911;3;9;9
910;2;9;9
909;1;9;9
908;0;9;9
907;3;9;9
906;2;9;9
905;1;9;9
904;0;9;9
903;3;9;9
902;2;9;9
901;1;9;9
900;0;9;9
899;3;9;9
898;2;9;9
897;1;9;9
896;0;9;9
895;3;9;9
894;2;9;9
893;1;9;9
892;0;9;9
891;3;9;9
890;2;9;9
889;1;9;9
888;0;9;9
887;3;9;9
886;2;9;9
885;1;9;9
884;0;9;9
883;3;9;9
882;2;9;9
881;1;9;9
880;0;9;9
879;3;9;9
878;2;9;9
877;1;9;9
876;0;9;9
875;3;9;9
874;2;9;9
873;1;9;9
872;0;9;9
871;3;9;9
870;2;9;9
869;1;9;9
868;0;9;9
867;3;9;9
866;2;9;9
865;1;9;9
864;0;9;9
863;3;9;9
862;2;9;9
861;1;9;9
860;0;9;9
859;3;9;9
858;2;9;9
857;1;9;9
856;0;9;9
855;3;9;9
854;2;9;9
853;1;9;9
852;0;9;9
851;3;9;9
850;2;9;9
849;1;9;9
848;0;9;9
847;3;9;9
846;2;9;9
845;1;9;9
844;0;9;9
843;3;9;9
842;2;9;9
841;1;9;9
840;0;9;9
839;3;9;9
838;2;9;9
837;1;9;9
836;0;9;9
835;3;9;9
834;2;9;9
833;1;9;9
832;0;9;9
831;3;9;9
830;2;9;9
829;1;9;9
828;0;9;9
827;3;9;9
826;2;9;9
825;1;9;9
824;0;9;9
823;3;9;9
822;2;9;9
821;1;9;9
820;0;9;9
819;3;9;9
818;2;9;9
817;1;9;9
816;0;9;9
815;3;9;9
814;2;9;9
813;1;9;9
812;0;9;9
811;3;9;9
810;2;9;9
809;1;9;9
808;0;9;9
807;3;9;9
806;2;9;9
805;1;9;9
804;0;9;9
803;3;9;9
802;2;9;9
801;1;9;9
800;0;9;9
799;3;9;9
798;2;9;9
797;1;9;9
796;0;9;9
795;3;9;9
794;2;9;9
793;1;9;9
792;0;9;9
791;3;9;9
790;2;9;9
789;1;9;9
788;0;9;9
787;3;9;9
786;2;9;9
785;1;9;9
784;0;9;9
783;3;9;9
782;2;9;9
781;1;9;9
780;0;9;9
779;3;9;9
778;2;9;9
777;1;9;9
776;0;9;9
775;3;9;9
774;2;9;9
773;1;9;9
772;0;9;9
771;3;9;9
770;2;9;9
769;1;9;9
768;0;9;9
767;3;9;9
766;2;9;9
765;1;9;9
764;0;9;9
763;3;9;9
762;2;9;9
761;1;9;9
760;0;9;9
759;3;9;9
758;2;9;9
757;1;9;9
756;0;9;9
755;3;9;9
754;2;9;9
753;1;9;9
752;0;9;9
751;3;9;9
750;2;9;9
749;1;9;9
748;0;9;9
747;3;9;9
746;2;9;9
745;1;9;9
744;0;9;9
743;3;9;9
742;2;9;9
741;1;9;9
740;0;9;9
739;3;9;9
738;2;9;9
737;1;9;9
736;0;9;9
735;3;9;9
734;2;9;9
733;1;9;9
732;0;9;9
731;3;9;9
730;2;9;9
729;1;9;9
728;0;9;9
727;3;9;9
726;2;9;9
725;1;9;9
724;0;9;9
723;3;9;9
722;2;9;9
721;1;9;9
720;0;9;9
719;3;9;9
718;2;9;9
717;1;9;9
716;0;9;9
715;3;9;9
714;2;9;9
713;1;9;9
712;0;9;9
711;3;9;9
710;2;9;9
709;1;9;9
708;0;9;9
707;3;9;9
706;2;9;9
705;1;9;9
704;0;9;9
703;3;9;9
702;2;9;9
701;1;9;9
700;0;9;9
699;3;9;9
698;2;9;9
697;1;9;9
696;0;9;9
695;3;9;9
694;2;9;9
693;1;9;9
692;0;9;9
691;3;9;9
690;2;9;9
689;1;9;9
688;0;9;9
687;3;9;9
686;2;9;9
685;1;9;9
684;0;9;9
683;3;9;9
682;2;9;9
681;1;9;9
680;0;9;9
679;3;9;9
678;2;9;9
677;1;9;9
676;0;9;9
675;3;9;9
674;2;9;9
673;1;9;9
672;0;9;9
671;3;9;9
670;2;9;9
669;1;9;9
668;0;9;9
667;3;9;9
666;2;9;9
665;1;9;9
664;0;9;9
663;3;9;9
662;2;9;9
661;1;9;9
660;0;9;9
659;3;9;9
658;2;9;9
657;1;9;9
656;0;9;9
655;3;9;9
654;2;9;9
653;1;9;9
652;0;9;9
651;3;9;9
650;2;9;9
649;1;9;9
648;0;9;9
647;3;9;9
646;2;9;9
645;1;9;9
644;0;9;9
643;3;9;9
642;2;9;9
641;1;9;9
640;0;9;9
639;3;9;9
638;2;9;9
637;1;9;9
636;0;9;9
635;3;9;9
634;2;9;9
633;1;9;9
632;0;9;9
631;3;9;9
630;2;9;9
629;1;9;9
628;0;9;9
627;3;9;9
626;2;9;9
625;1;9;9
624;0;9;9
623;3;9;9
622;2;9;9
621;1;9;9
620;0;9;9
619;3;9;9
618;2;9;9
617;1;9;9
616;0;9;9
615;3;9;9
614;2;9;9
613;1;9;9
612;0;9;9
611;3;9;9
610;2;9;9
609;1;9;9
608;0;9;9
607;3;9;9
606;2;9;9
605;1;9;9
604;0;9;9
603;3;9;9
602;2;9;9
601;1;9;9
600;0;9;9
