Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;0;3;3
1023;3;-3;253
1022;1;1;1
1021;2;-1;255
1020;0;3;3
1019;3;-3;253
1018;1;1;1
1017;2;-1;255
1016;0;3;3
1015;3;-3;253
1014;1;1;1
1013;2;-1;255
1012;0;3;3
1011;3;-3;253
1010;1;1;1
1009;2;-1;255
1008;0;3;3
1007;3;-3;253
1006;1;1;1
1005;2;-1;255
1004;0;3;3
1003;3;-3;253
1002;1;1;1
1001;2;-1;255
1000;0;3;3
999;3;-3;253
998;1;1;1
997;2;-1;255
996;0;3;3
995;3;-3;253
994;1;1;1
993;2;-1;255
992;0;3;3
991;3;-3;253
990;1;1;1
989;2;-1;255
988;0;3;3
987;3;-3;253
986;1;1;1
985;2;-1;255
984;0;3;3
983;3;-3;253
982;1;1;1
981;2;-1;255
980;0;3;3
979;3;-3;253
978;1;1;1
977;2;-1;255
976;0;3;3
975;3;-3;253
974;1;1;1
973;2;-1;255
972;0;3;3
971;3;-3;253
970;1;1;1
969;2;-1;255
968;0;3;3
967;3;-3;253
966;1;1;1
965;2;-1;255
964;0;3;3
963;3;-3;253
962;1;1;1
961;2;-1;255
960;0;3;3
959;3;-3;253
958;1;1;1
957;2;-1;255
956;0;3;3
955;3;-3;253
954;1;1;1
953;2;-1;255
952;0;3;3
951;3;-3;253
950;1;1;1
949;2;-1;255
948;0;3;3
947;3;-3;253
946;1;1;1
945;2;-1;255
944;0;3;3
943;3;-3;253
942;1;1;1
941;2;-1;255
940;0;3;3
939;3;-3;253
938;1;1;1
937;2;-1;255
936;0;3;3
935;3;-3;253
934;1;1;1
933;2;-1;255
932;0;3;3
931;3;-3;253
930;1;1;1
929;2;-1;255
928;0;3;3
927;3;-3;253
926;1;1;1
925;2;-1;255
924;0;3;3
923;3;-3;253
922;1;1;1
921;2;-1;255
920;0;3;3
919;3;-3;253
918;1;1;1
917;2;-1;255
916;0;3;3
915;3;-3;253
914;1;1;1
913;2;-1;255
912;0;3;3
911;3;-3;253
910;1;1;1
909;2;-1;255
908;0;3;3
907;3;-3;253
906;1;1;1
905;2;-1;255
904;0;3;3
903;3;-3;253
902;1;1;1
901;2;-1;255
900;0;3;3
899;3;-3;253
898;1;1;1
897;2;-1;255
896;0;3;3
895;3;-3;253
894;1;1;1
893;2;-1;255
892;0;3;3
891;3;-3;253
890;1;1;1
889;2;-1;255
888;0;3;3
887;3;-3;253
886;1;1;1
885;2;-1;255
884;0;3;3
883;3;-3;253
882;1;1;1
881;2;-1;255
880;0;3;3
879;3;-3;253
878;1;1;1
877;2;-1;255
876;0;3;3
875;3;-3;253
874;1;1;1
873;2;-1;255
872;0;3;3
871;3;-3;253
870;1;1;1
869;2;-1;255
868;0;3;3
867;3;-3;253
866;1;1;1
865;2;-1;255
864;0;3;3
863;3;-3;253
862;1;1;1
861;2;-1;255
860;0;3;3
859;3;-3;253
858;1;1;1
857;2;-1;255
856;0;3;3
855;3;-3;253
854;1;1;1
853;2;-1;255
852;0;3;3
851;3;-3;253
850;1;1;1
849;2;-1;255
848;0;3;3
847;3;-3;253
846;1;1;1
845;2;-1;255
844;0;3;3
843;3;-3;253
842;1;1;1
841;2;-1;255
840;0;3;3
839;3;-3;253
838;1;1;1
837;2;-1;255
836;0;3;3
835;3;-3;253
834;1;1;1
833;2;-1;255
832;0;3;3
831;3;-3;253
830;1;1;1
829;2;-1;255
828;0;3;3
827;3;-3;253
826;1;1;1
825;2;-1;255
824;0;3;3
823;3;-3;253
822;1;1;1
821;2;-1;255
820;0;3;3
819;3;-3;253
818;1;1;1
817;2;-1;255
816;0;3;3
815;3;-4;252
814;1;1;1
813;2;-1;255
812;0;4;4
811;3;-4;252
810;1;1;1
809;2;-1;255
808;0;4;4
807;3;-4;252
806;1;1;1
805;2;-1;255
804;0;4;4
803;3;-4;252
802;1;1;1
801;2;-1;255
800;0;4;4
799;3;-4;252
798;1;1;1
797;2;-1;255
796;0;4;4
795;3;-4;252
794;1;1;1
793;2;-1;255
792;0;4;4
791;3;-4;252
790;1;1;1
789;2;-1;255
788;0;4;4
787;3;-4;252
786;1;1;1
785;2;-1;255
784;0;4;4
783;3;-4;252
782;1;1;1
781;2;-1;255
780;0;4;4
779;3;-4;252
778;1;1;1
777;2;-1;255
776;0;4;4
775;3;-4;252
774;1;1;1
773;2;-1;255
772;0;4;4
771;3;-4;252
770;1;1;1
769;2;-1;255
768;0;4;4
767;3;-4;252
766;1;1;1
765;2;-1;255
764;0;4;4
763;3;-4;252
762;1;1;1
761;2;-1;255
760;0;4;4
759;3;-4;252
758;1;1;1
757;2;-1;255
756;0;4;4
755;3;-4;252
754;1;1;1
753;2;-1;255
752;0;4;4
751;3;-4;252
750;1;1;1
749;2;-1;255
748;0;4;4
747;3;-4;252
746;1;1;1
745;2;-1;255
744;0;4;4
743;3;-4;252
742;1;2;2
741;2;-2;254
740;0;4;4
739;3;-4;252
738;1;2;2
737;2;-2;254
736;0;4;4
735;3;-4;252
734;1;2;2
733;2;-2;254
732;0;4;4
731;3;-4;252
730;1;2;2
729;2;-2;254
728;0;4;4
727;3;-4;252
726;1;2;2
725;2;-2;254
724;0;4;4
723;3;-4;252
722;1;2;2
721;2;-2;254
720;0;4;4
719;3;-4;252
718;1;2;2
717;2;-2;254
716;0;4;4
715;3;-4;252
714;1;2;2
713;2;-2;254
712;0;4;4
711;3;-4;252
710;1;2;2
709;2;-2;254
708;0;4;4
707;3;-4;252
706;1;2;2
705;2;-2;254
704;0;4;4
703;3;-4;252
702;1;2;2
701;2;-2;254
700;0;4;4
699;3;-4;252
698;1;2;2
697;2;-2;254
696;0;4;4
