Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;1;1;1
1023;3;-3;253
1022;0;3;3
1021;2;-1;255
1020;1;1;1
1019;3;-3;253
1018;0;3;3
1017;2;-1;255
1016;1;1;1
1015;3;-3;253
1014;0;3;3
1013;2;-1;255
1012;1;1;1
1011;3;-3;253
1010;0;3;3
1009;2;-1;255
1008;1;1;1
1007;3;-3;253
1006;0;3;3
1005;2;-1;255
1004;1;1;1
1003;3;-3;253
1002;0;3;3
1001;2;-1;255
1000;1;1;1
999;3;-3;253
998;0;3;3
997;2;-1;255
996;1;1;1
995;3;-3;253
994;0;3;3
993;2;-1;255
992;1;1;1
991;3;-3;253
990;0;3;3
989;2;-1;255
988;1;1;1
987;3;-3;253
986;0;3;3
985;2;-1;255
984;1;1;1
983;3;-3;253
982;0;3;3
981;2;-1;255
980;1;1;1
979;3;-3;253
978;0;3;3
977;2;-1;255
976;1;1;1
975;3;-3;253
974;0;3;3
973;2;-1;255
972;1;1;1
971;3;-3;253
970;0;3;3
969;2;-1;255
968;1;1;1
967;3;-3;253
966;0;3;3
965;2;-1;255
964;1;1;1
963;3;-3;253
962;0;3;3
961;2;-1;255
960;1;1;1
959;3;-3;253
958;0;3;3
957;2;-1;255
956;1;1;1
955;3;-3;253
954;0;3;3
953;2;-1;255
952;1;1;1
951;3;-3;253
950;0;3;3
949;2;-1;255
948;1;1;1
947;3;-3;253
946;0;3;3
945;2;-1;255
944;1;1;1
943;3;-3;253
942;0;3;3
941;2;-1;255
940;1;1;1
939;3;-3;253
938;0;3;3
937;2;-1;255
936;1;1;1
935;3;-3;253
934;0;3;3
933;2;-1;255
932;1;1;1
931;3;-3;253
930;0;3;3
929;2;-1;255
928;1;1;1
927;3;-3;253
926;0;3;3
925;2;-1;255
924;1;1;1
923;3;-3;253
922;0;3;3
921;2;-1;255
920;1;1;1
919;3;-3;253
918;0;3;3
917;2;-1;255
916;1;1;1
915;3;-3;253
914;0;3;3
913;2;-1;255
912;1;1;1
911;3;-3;253
910;0;3;3
909;2;-1;255
908;1;1;1
907;3;-3;253
906;0;3;3
905;2;-1;255
904;1;1;1
903;3;-3;253
902;0;3;3
901;2;-1;255
900;1;1;1
899;3;-3;253
898;0;3;3
897;2;-1;255
896;1;1;1
895;3;-3;253
894;0;3;3
893;2;-1;255
892;1;1;1
891;3;-3;253
890;0;3;3
889;2;-1;255
888;1;1;1
887;3;-3;253
886;0;3;3
885;2;-1;255
884;1;1;1
883;3;-3;253
882;0;3;3
881;2;-1;255
880;1;1;1
879;3;-3;253
878;0;3;3
877;2;-1;255
876;1;1;1
875;3;-3;253
874;0;3;3
873;2;-1;255
872;1;1;1
871;3;-3;253
870;0;3;3
869;2;-1;255
868;1;1;1
867;3;-3;253
866;0;3;3
865;2;-1;255
864;1;1;1
863;3;-3;253
862;0;3;3
861;2;-1;255
860;1;1;1
859;3;-3;253
858;0;3;3
857;2;-1;255
856;1;1;1
855;3;-3;253
854;0;3;3
853;2;-1;255
852;1;1;1
851;3;-3;253
850;0;3;3
849;2;-1;255
848;1;1;1
847;3;-3;253
846;0;3;3
