Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;2;-1;255
1023;1;1;1
1022;0;3;3
1021;3;-3;253
1020;2;-1;255
1019;1;1;1
1018;0;3;3
1017;3;-3;253
1016;2;-1;255
1015;1;1;1
1014;0;3;3
1013;3;-3;253
1012;2;-1;255
1011;1;1;1
1010;0;3;3
1009;3;-3;253
1008;2;-1;255
1007;1;1;1
1006;0;3;3
1005;3;-3;253
1004;2;-1;255
1003;1;1;1
1002;0;3;3
1001;3;-3;253
1000;2;-1;255
999;1;1;1
998;0;3;3
997;3;-3;253
996;2;-1;255
995;1;1;1
994;0;3;3
993;3;-3;253
992;2;-1;255
991;1;1;1
990;0;3;3
989;3;-3;253
988;2;-1;255
987;1;1;1
986;0;3;3
985;3;-3;253
984;2;-1;255
983;1;1;1
982;0;3;3
981;3;-3;253
980;2;-1;255
979;1;1;1
978;0;3;3
977;3;-3;253
976;2;-1;255
975;1;1;1
974;0;3;3
973;3;-3;253
972;2;-1;255
971;1;1;1
970;0;3;3
969;3;-3;253
968;2;-1;255
967;1;1;1
966;0;3;3
965;3;-3;253
964;2;-1;255
963;1;1;1
962;0;3;3
961;3;-3;253
960;2;-1;255
959;1;1;1
958;0;3;3
957;3;-3;253
956;2;-1;255
955;1;1;1
954;0;3;3
953;3;-3;253
952;2;-1;255
951;1;1;1
950;0;3;3
949;3;-3;253
948;2;-1;255
947;1;1;1
946;0;3;3
945;3;-3;253
944;2;-1;255
943;1;1;1
942;0;3;3
941;3;-3;253
940;2;-1;255
939;1;1;1
938;0;3;3
937;3;-3;253
936;2;-1;255
935;1;1;1
934;0;3;3
933;3;-3;253
932;2;-1;255
931;1;1;1
930;0;3;3
929;3;-3;253
928;2;-1;255
927;1;1;1
926;0;3;3
925;3;-3;253
924;2;-1;255
923;1;1;1
922;0;3;3
921;3;-3;253
920;2;-1;255
919;1;1;1
918;0;3;3
917;3;-3;253
916;2;-1;255
915;1;1;1
914;0;3;3
913;3;-3;253
912;2;-1;255
911;1;1;1
910;0;3;3
909;3;-3;253
908;2;-1;255
907;1;1;1
906;0;3;3
905;3;-3;253
904;2;-1;255
903;1;1;1
902;0;3;3
901;3;-3;253
900;2;-1;255
899;1;1;1
898;0;3;3
897;3;-3;253
896;2;-1;255
895;1;1;1
894;0;3;3
893;3;-3;253
892;2;-1;255
891;1;1;1
890;0;3;3
889;3;-3;253
888;2;-1;255
887;1;1;1
886;0;3;3
885;3;-3;253
884;2;-1;255
883;1;1;1
882;0;3;3
881;3;-3;253
880;2;-1;255
879;1;1;1
878;0;3;3
877;3;-3;253
876;2;-1;255
875;1;1;1
874;0;3;3
873;3;-3;253
872;2;-1;255
871;1;1;1
870;0;3;3
869;3;-3;253
868;2;-1;255
867;1;1;1
866;0;3;3
865;3;-3;253
864;2;-1;255
863;1;1;1
862;0;3;3
861;3;-3;253
860;2;-1;255
859;1;1;1
858;0;3;3
857;3;-3;253
856;2;-1;255
855;1;1;1
854;0;3;3
853;3;-3;253
852;2;-1;255
851;1;1;1
850;0;3;3
849;3;-3;253
848;2;-1;255
847;1;1;1
846;0;3;3
845;3;-3;253
844;2;-1;255
843;1;1;1
842;0;3;3
841;3;-3;253
840;2;-1;255
839;1;1;1
838;0;3;3
837;3;-3;253
836;2;-1;255
835;1;1;1
834;0;3;3
833;3;-3;253
832;2;-1;255
831;1;1;1
830;0;3;3
829;3;-3;253
828;2;-1;255
827;1;1;1
826;0;3;3
825;3;-3;253
824;2;-1;255
823;1;1;1
822;0;3;3
821;3;-3;253
820;2;-1;255
819;1;1;1
818;0;3;3
817;3;-3;253
816;2;-1;255
815;1;1;1
814;0;4;4
813;3;-4;252
812;2;-1;255
811;1;1;1
810;0;4;4
809;3;-4;252
808;2;-1;255
807;1;1;1
806;0;4;4
805;3;-4;252
804;2;-1;255
803;1;1;1
802;0;4;4
801;3;-4;252
800;2;-1;255
799;1;1;1
798;0;4;4
797;3;-4;252
796;2;-1;255
795;1;1;1
794;0;4;4
793;3;-4;252
792;2;-1;255
791;1;1;1
790;0;4;4
789;3;-4;252
788;2;-1;255
787;1;1;1
786;0;4;4
785;3;-4;252
784;2;-1;255
783;1;1;1
782;0;4;4
781;3;-4;252
780;2;-1;255
779;1;1;1
778;0;4;4
777;3;-4;252
776;2;-1;255
775;1;1;1
774;0;4;4
773;3;-4;252
772;2;-1;255
771;1;1;1
770;0;4;4
769;3;-4;252
768;2;-1;255
767;1;1;1
766;0;4;4
765;3;-4;252
764;2;-1;255
763;1;1;1
762;0;4;4
761;3;-4;252
760;2;-1;255
759;1;1;1
758;0;4;4
757;3;-4;252
756;2;-1;255
755;1;1;1
754;0;4;4
753;3;-4;252
752;2;-1;255
751;1;1;1
750;0;4;4
749;3;-4;252
748;2;-1;255
747;1;1;1
746;0;4;4
745;3;-4;252
744;2;-1;255
743;1;2;2
742;0;4;4
741;3;-4;252
740;2;-2;254
739;1;2;2
738;0;4;4
737;3;-4;252
736;2;-2;254
735;1;2;2
734;0;4;4
733;3;-4;252
732;2;-2;254
731;1;2;2
730;0;4;4
729;3;-4;252
728;2;-2;254
727;1;2;2
726;0;4;4
725;3;-4;252
724;2;-2;254
723;1;2;2
722;0;4;4
721;3;-4;252
720;2;-2;254
719;1;2;2
718;0;4;4
717;3;-4;252
716;2;-2;254
715;1;2;2
714;0;4;4
713;3;-4;252
712;2;-2;254
711;1;2;2
710;0;4;4
709;3;-4;252
708;2;-2;254
707;1;2;2
706;0;4;4
705;3;-4;252
704;2;-2;254
703;1;2;2
702;0;4;4
701;3;-4;252
700;2;-2;254
699;1;2;2
698;0;4;4
697;3;-4;252
696;2;-2;254
695;1;2;2
694;0;4;4
693;3;-4;252
692;2;-2;254
691;1;2;2
690;0;4;4
689;3;-4;252
688;2;-2;254
687;1;2;2
686;0;4;4
685;3;-4;252
684;2;-2;254
683;1;2;2
682;0;4;4
681;3;-4;252
680;2;-2;254
679;1;2;2
678;0;4;4
677;3;-4;252
676;2;-2;254
675;1;2;2
674;0;4;4
673;3;-4;252
672;2;-2;254
671;1;2;2
670;0;4;4
669;3;-4;252
668;2;-2;254
667;1;2;2
666;0;4;4
665;3;-4;252
664;2;-2;254
663;1;2;2
662;0;4;4
661;3;-4;252
660;2;-2;254
659;1;2;2
658;0;4;4
657;3;-4;252
656;2;-2;254
655;1;2;2
654;0;4;4
653;3;-4;252
652;2;-2;254
651;1;2;2
650;0;4;4
649;3;-4;252
648;2;-2;254
647;1;2;2
646;0;4;4
645;3;-4;252
644;2;-2;254
643;1;2;2
642;0;4;4
641;3;-4;252
640;2;-2;254
639;1;2;2
638;0;4;4
637;3;-4;252
636;2;-2;254
635;1;2;2
634;0;4;4
633;3;-4;252
632;2;-2;254
631;1;2;2
630;0;4;4
629;3;-4;252
628;2;-2;254
627;1;2;2
626;0;4;4
625;3;-4;252
624;2;-2;254
623;1;2;2
622;0;4;4
621;3;-4;252
620;2;-2;254
619;1;2;2
618;0;4;4
617;3;-4;252
616;2;-2;254
615;1;2;2
614;0;4;4
613;3;-4;252
612;2;-2;254
611;1;2;2
610;0;4;4
609;3;-4;252
608;2;-2;254
607;1;2;2
606;0;4;4
605;3;-4;252
604;2;-2;254
603;1;2;2
602;0;4;4
601;3;-4;252
600;2;-2;254
599;1;2;2
598;0;4;4
597;3;-4;252
596;2;-2;254
595;1;2;2
594;0;4;4
593;3;-4;252
592;2;-2;254
591;1;2;2
590;0;4;4
589;3;-4;252
588;2;-2;254
587;1;2;2
586;0;4;4
585;3;-4;252
584;2;-2;254
583;1;2;2
582;0;4;4
