Pixel;Row;Correction Value Signed;Correction Value Unsigned
1022;0;10;10
1021;1;4;4
1020;2;-4;252
1019;3;-10;246
1018;0;10;10
1017;1;4;4
1016;2;-4;252
1015;3;-10;246
1014;0;10;10
1013;1;4;4
1012;2;-4;252
1011;3;-10;246
1010;0;10;10
1009;1;4;4
1008;2;-4;252
1007;3;-10;246
1006;0;10;10
1005;1;4;4
1004;2;-4;252
1003;3;-10;246
1002;0;10;10
1001;1;4;4
1000;2;-4;252
999;3;-10;246
998;0;10;10
997;1;4;4
996;2;-4;252
995;3;-10;246
994;0;10;10
993;1;4;4
992;2;-4;252
991;3;-10;246
990;0;10;10
989;1;4;4
988;2;-4;252
987;3;-10;246
986;0;10;10
985;1;4;4
984;2;-4;252
983;3;-10;246
982;0;10;10
981;1;4;4
980;2;-4;252
979;3;-10;246
978;0;10;10
977;1;4;4
976;2;-4;252
975;3;-10;246
974;0;10;10
973;1;4;4
972;2;-4;252
971;3;-10;246
970;0;10;10
969;1;4;4
968;2;-4;252
967;3;-11;245
966;0;11;11
965;1;4;4
964;2;-4;252
963;3;-11;245
962;0;11;11
961;1;4;4
960;2;-4;252
959;3;-11;245
958;0;11;11
957;1;4;4
956;2;-4;252
955;3;-11;245
954;0;11;11
953;1;4;4
952;2;-4;252
951;3;-11;245
950;0;11;11
949;1;4;4
948;2;-4;252
947;3;-11;245
946;0;11;11
945;1;4;4
944;2;-4;252
943;3;-11;245
942;0;11;11
941;1;4;4
940;2;-4;252
939;3;-11;245
938;0;11;11
937;1;4;4
936;2;-4;252
935;3;-11;245
934;0;11;11
933;1;4;4
932;2;-4;252
931;3;-11;245
930;0;11;11
929;1;4;4
928;2;-4;252
927;3;-11;245
926;0;11;11
925;1;4;4
924;2;-4;252
923;3;-11;245
922;0;11;11
921;1;5;5
920;2;-5;251
919;3;-11;245
918;0;11;11
917;1;5;5
916;2;-5;251
915;3;-11;245
914;0;11;11
913;1;5;5
912;2;-5;251
911;3;-11;245
910;0;11;11
909;1;5;5
908;2;-5;251
907;3;-11;245
906;0;11;11
905;1;5;5
904;2;-5;251
903;3;-12;244
902;0;12;12
901;1;5;5
900;2;-5;251
899;3;-12;244
898;0;12;12
897;1;5;5
896;2;-5;251
895;3;-12;244
894;0;12;12
893;1;5;5
892;2;-5;251
891;3;-12;244
890;0;12;12
889;1;5;5
888;2;-5;251
887;3;-12;244
886;0;12;12
885;1;5;5
884;2;-5;251
883;3;-12;244
882;0;12;12
881;1;5;5
880;2;-5;251
879;3;-12;244
878;0;12;12
877;1;5;5
876;2;-5;251
875;3;-12;244
874;0;12;12
873;1;5;5
872;2;-5;251
871;3;-12;244
870;0;12;12
869;1;5;5
868;2;-5;251
867;3;-12;244
866;0;12;12
865;1;5;5
864;2;-5;251
863;3;-12;244
862;0;12;12
861;1;5;5
860;2;-5;251
859;3;-12;244
858;0;12;12
857;1;5;5
856;2;-5;251
855;3;-12;244
854;0;12;12
853;1;5;5
852;2;-5;251
851;3;-12;244
850;0;12;12
849;1;5;5
848;2;-5;251
847;3;-12;244
846;0;13;13
845;1;5;5
844;2;-5;251
843;3;-13;243
842;0;13;13
841;1;5;5
840;2;-5;251
839;3;-13;243
838;0;13;13
837;1;5;5
836;2;-5;251
835;3;-13;243
834;0;13;13
833;1;5;5
832;2;-5;251
831;3;-13;243
830;0;13;13
829;1;5;5
828;2;-5;251
827;3;-13;243
826;0;13;13
825;1;5;5
824;2;-5;251
823;3;-13;243
822;0;13;13
821;1;5;5
820;2;-5;251
819;3;-13;243
818;0;13;13
817;1;5;5
816;2;-5;251
815;3;-13;243
814;0;13;13
813;1;5;5
812;2;-5;251
811;3;-13;243
810;0;13;13
809;1;5;5
808;2;-5;251
807;3;-13;243
806;0;13;13
805;1;5;5
804;2;-5;251
803;3;-13;243
802;0;13;13
801;1;5;5
800;2;-5;251
799;3;-13;243
798;0;13;13
797;1;5;5
796;2;-5;251
795;3;-13;243
794;0;13;13
793;1;5;5
792;2;-5;251
791;3;-13;243
790;0;14;14
789;1;5;5
788;2;-5;251
787;3;-14;242
786;0;14;14
785;1;5;5
784;2;-5;251
783;3;-14;242
782;0;14;14
781;1;5;5
780;2;-5;251
779;3;-14;242
778;0;14;14
777;1;6;6
776;2;-6;250
775;3;-14;242
774;0;14;14
773;1;6;6
772;2;-6;250
771;3;-14;242
770;0;14;14
769;1;6;6
768;2;-6;250
767;3;-14;242
766;0;14;14
765;1;6;6
764;2;-6;250
763;3;-14;242
762;0;14;14
761;1;6;6
760;2;-6;250
759;3;-14;242
758;0;14;14
757;1;6;6
756;2;-6;250
755;3;-14;242
754;0;14;14
753;1;6;6
752;2;-6;250
751;3;-14;242
750;0;14;14
749;1;6;6
748;2;-6;250
747;3;-14;242
746;0;14;14
745;1;6;6
744;2;-6;250
743;3;-14;242
742;0;14;14
741;1;6;6
740;2;-6;250
739;3;-14;242
738;0;15;15
737;1;6;6
736;2;-6;250
735;3;-15;241
734;0;15;15
733;1;6;6
732;2;-6;250
731;3;-15;241
730;0;15;15
729;1;6;6
728;2;-6;250
727;3;-15;241
726;0;15;15
725;1;6;6
724;2;-6;250
723;3;-15;241
722;0;15;15
721;1;6;6
720;2;-6;250
719;3;-15;241
718;0;15;15
717;1;6;6
716;2;-6;250
715;3;-15;241
714;0;15;15
713;1;6;6
712;2;-6;250
711;3;-15;241
710;0;15;15
709;1;6;6
708;2;-6;250
707;3;-15;241
706;0;15;15
705;1;6;6
704;2;-6;250
703;3;-15;241
702;0;15;15
701;1;6;6
700;2;-6;250
