Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;0;0;0
1023;1;0;0
1022;2;0;0
1021;3;0;0
1020;0;0;0
1019;1;0;0
1018;2;0;0
1017;3;0;0
1016;0;0;0
1015;1;0;0
1014;2;0;0
1013;3;0;0
1012;0;0;0
1011;1;0;0
1010;2;0;0
1009;3;0;0
1008;0;0;0
1007;1;0;0
1006;2;0;0
1005;3;0;0
1004;0;0;0
1003;1;0;0
1002;2;0;0
1001;3;0;0
1000;0;0;0
999;1;0;0
998;2;0;0
997;3;0;0
996;0;0;0
995;1;0;0
994;2;0;0
993;3;0;0
992;0;0;0
991;1;0;0
990;2;0;0
989;3;0;0
988;0;0;0
987;1;0;0
986;2;0;0
985;3;0;0
984;0;0;0
983;1;0;0
982;2;0;0
981;3;0;0
980;0;0;0
979;1;0;0
978;2;0;0
977;3;0;0
976;0;0;0
975;1;0;0
974;2;0;0
973;3;0;0
972;0;0;0
971;1;0;0
970;2;0;0
969;3;0;0
968;0;0;0
967;1;0;0
966;2;0;0
965;3;0;0
964;0;0;0
963;1;0;0
962;2;0;0
961;3;0;0
960;0;0;0
959;1;0;0
958;2;0;0
957;3;0;0
956;0;0;0
955;1;0;0
954;2;0;0
953;3;0;0
952;0;0;0
951;1;0;0
950;2;0;0
949;3;0;0
948;0;0;0
947;1;0;0
946;2;0;0
945;3;0;0
944;0;0;0
943;1;0;0
942;2;0;0
941;3;0;0
940;0;0;0
939;1;0;0
938;2;0;0
937;3;0;0
936;0;0;0
935;1;0;0
934;2;0;0
933;3;0;0
932;0;0;0
931;1;0;0
930;2;0;0
929;3;0;0
928;0;0;0
927;1;0;0
926;2;0;0
925;3;0;0
924;0;0;0
923;1;0;0
922;2;0;0
921;3;0;0
920;0;0;0
919;1;0;0
918;2;0;0
917;3;0;0
916;0;0;0
915;1;0;0
914;2;0;0
913;3;0;0
912;0;0;0
911;1;0;0
910;2;0;0
909;3;0;0
908;0;0;0
907;1;0;0
906;2;0;0
905;3;0;0
904;0;0;0
903;1;0;0
902;2;0;0
901;3;0;0
900;0;0;0
899;1;0;0
898;2;0;0
897;3;0;0
896;0;0;0
895;1;0;0
894;2;0;0
893;3;0;0
892;0;0;0
891;1;0;0
890;2;0;0
889;3;0;0
888;0;0;0
887;1;0;0
886;2;0;0
885;3;0;0
884;0;0;0
883;1;0;0
882;2;0;0
881;3;0;0
880;0;0;0
879;1;0;0
878;2;0;0
877;3;0;0
876;0;0;0
875;1;0;0
874;2;0;0
873;3;0;0
872;0;0;0
871;1;0;0
870;2;0;0
869;3;0;0
868;0;0;0
867;1;0;0
866;2;0;0
865;3;0;0
864;0;0;0
863;1;0;0
862;2;0;0
861;3;0;0
860;0;0;0
859;1;0;0
858;2;0;0
857;3;0;0
856;0;0;0
855;1;0;0
854;2;0;0
853;3;0;0
852;0;0;0
851;1;0;0
850;2;0;0
849;3;0;0
848;0;0;0
847;1;0;0
846;2;0;0
845;3;0;0
844;0;0;0
843;1;0;0
842;2;0;0
841;3;0;0
840;0;0;0
839;1;0;0
838;2;0;0
837;3;0;0
836;0;0;0
835;1;0;0
834;2;0;0
833;3;0;0
832;0;0;0
831;1;0;0
830;2;0;0
829;3;0;0
828;0;0;0
827;1;0;0
826;2;0;0
825;3;0;0
824;0;0;0
823;1;0;0
822;2;0;0
821;3;0;0
820;0;0;0
819;1;0;0
818;2;0;0
817;3;0;0
816;0;0;0
815;1;0;0
814;2;0;0
813;3;0;0
812;0;0;0
811;1;0;0
810;2;0;0
809;3;0;0
808;0;0;0
807;1;0;0
806;2;0;0
805;3;0;0
804;0;0;0
803;1;0;0
802;2;0;0
801;3;0;0
800;0;0;0
799;1;0;0
798;2;0;0
797;3;0;0
796;0;0;0
795;1;0;0
794;2;0;0
793;3;0;0
792;0;0;0
791;1;0;0
790;2;0;0
789;3;0;0
788;0;0;0
787;1;0;0
786;2;0;0
785;3;0;0
784;0;0;0
783;1;0;0
782;2;0;0
781;3;0;0
780;0;0;0
779;1;0;0
778;2;0;0
777;3;0;0
776;0;0;0
775;1;0;0
774;2;0;0
773;3;0;0
772;0;0;0
771;1;0;0
770;2;0;0
769;3;0;0
768;0;0;0
767;1;0;0
766;2;0;0
765;3;0;0
764;0;0;0
763;1;0;0
762;2;0;0
761;3;0;0
760;0;0;0
759;1;0;0
758;2;0;0
757;3;0;0
756;0;0;0
755;1;0;0
754;2;0;0
753;3;0;0
752;0;0;0
751;1;0;0
750;2;0;0
749;3;0;0
748;0;0;0
747;1;0;0
746;2;0;0
745;3;0;0
744;0;0;0
743;1;0;0
742;2;0;0
741;3;0;0
740;0;0;0
739;1;0;0
738;2;0;0
737;3;0;0
736;0;0;0
735;1;0;0
734;2;0;0
733;3;0;0
732;0;0;0
731;1;0;0
730;2;0;0
729;3;0;0
728;0;0;0
727;1;0;0
726;2;0;0
725;3;0;0
724;0;0;0
723;1;0;0
722;2;0;0
721;3;0;0
720;0;0;0
719;1;0;0
718;2;0;0
717;3;0;0
716;0;0;0
715;1;0;0
714;2;0;0
713;3;0;0
712;0;0;0
711;1;0;0
710;2;0;0
709;3;0;0
708;0;0;0
707;1;0;0
706;2;0;0
705;3;0;0
704;0;0;0
703;1;0;0
702;2;0;0
701;3;0;0
700;0;0;0
699;1;0;0
698;2;0;0
697;3;0;0
696;0;0;0
695;1;0;0
694;2;0;0
693;3;0;0
692;0;0;0
691;1;0;0
690;2;0;0
689;3;0;0
