Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;1;8;8
1023;3;4;4
1022;0;10;10
1021;2;6;6
1020;1;8;8
1019;3;4;4
1018;0;10;10
1017;2;6;6
1016;1;8;8
1015;3;4;4
1014;0;10;10
1013;2;6;6
1012;1;8;8
1011;3;4;4
1010;0;10;10
1009;2;6;6
1008;1;8;8
1007;3;4;4
1006;0;10;10
1005;2;6;6
1004;1;8;8
1003;3;4;4
1002;0;10;10
1001;2;6;6
1000;1;8;8
999;3;4;4
998;0;10;10
997;2;6;6
996;1;8;8
995;3;4;4
994;0;10;10
993;2;6;6
992;1;8;8
991;3;4;4
990;0;10;10
989;2;6;6
988;1;8;8
987;3;4;4
986;0;10;10
985;2;6;6
984;1;8;8
983;3;4;4
982;0;10;10
981;2;6;6
980;1;8;8
979;3;4;4
978;0;10;10
977;2;6;6
976;1;8;8
975;3;4;4
974;0;10;10
973;2;6;6
972;1;8;8
971;3;4;4
970;0;10;10
969;2;6;6
968;1;8;8
967;3;4;4
966;0;10;10
965;2;6;6
964;1;8;8
963;3;4;4
962;0;10;10
961;2;6;6
960;1;8;8
959;3;4;4
958;0;10;10
957;2;6;6
956;1;8;8
955;3;4;4
954;0;10;10
953;2;6;6
952;1;8;8
951;3;4;4
950;0;10;10
949;2;6;6
948;1;8;8
947;3;4;4
946;0;10;10
945;2;6;6
944;1;8;8
943;3;4;4
942;0;10;10
941;2;6;6
940;1;8;8
939;3;4;4
938;0;10;10
937;2;6;6
936;1;8;8
935;3;4;4
934;0;10;10
933;2;6;6
932;1;8;8
931;3;4;4
930;0;10;10
929;2;6;6
928;1;8;8
927;3;4;4
926;0;10;10
925;2;6;6
924;1;8;8
923;3;4;4
922;0;10;10
921;2;6;6
920;1;8;8
919;3;4;4
918;0;10;10
917;2;6;6
916;1;8;8
915;3;4;4
914;0;10;10
913;2;6;6
912;1;8;8
911;3;4;4
910;0;10;10
909;2;6;6
908;1;8;8
907;3;4;4
906;0;10;10
905;2;6;6
904;1;8;8
903;3;4;4
902;0;10;10
901;2;6;6
900;1;8;8
899;3;4;4
898;0;10;10
897;2;6;6
896;1;8;8
895;3;4;4
894;0;10;10
893;2;6;6
892;1;8;8
891;3;4;4
890;0;10;10
889;2;6;6
888;1;8;8
887;3;4;4
886;0;10;10
885;2;6;6
884;1;8;8
883;3;4;4
882;0;10;10
881;2;6;6
880;1;8;8
879;3;4;4
878;0;10;10
877;2;6;6
876;1;8;8
875;3;4;4
874;0;10;10
873;2;6;6
872;1;8;8
871;3;4;4
870;0;10;10
869;2;6;6
868;1;8;8
867;3;4;4
866;0;10;10
865;2;6;6
864;1;8;8
863;3;4;4
862;0;10;10
861;2;6;6
860;1;8;8
859;3;4;4
858;0;10;10
857;2;6;6
856;1;8;8
855;3;4;4
854;0;10;10
853;2;6;6
852;1;8;8
851;3;4;4
850;0;10;10
849;2;6;6
848;1;8;8
847;3;4;4
846;0;10;10
845;2;6;6
844;1;8;8
843;3;4;4
842;0;10;10
841;2;6;6
840;1;8;8
839;3;4;4
838;0;10;10
837;2;6;6
836;1;8;8
835;3;4;4
834;0;10;10
833;2;6;6
832;1;8;8
831;3;4;4
830;0;10;10
829;2;6;6
828;1;8;8
827;3;4;4
826;0;10;10
825;2;6;6
824;1;8;8
823;3;4;4
822;0;10;10
821;2;6;6
820;1;8;8
819;3;4;4
818;0;10;10
817;2;6;6
816;1;8;8
815;3;3;3
814;0;11;11
813;2;6;6
812;1;8;8
811;3;3;3
810;0;11;11
809;2;6;6
808;1;8;8
807;3;3;3
806;0;11;11
805;2;6;6
804;1;8;8
803;3;3;3
802;0;11;11
801;2;6;6
800;1;8;8
799;3;3;3
798;0;11;11
797;2;6;6
796;1;8;8
795;3;3;3
