Pixel;Row;Correction Value Signed;Correction Value Unsigned
1022;1;3;3
1021;3;3;3
1020;0;3;3
1019;2;3;3
1018;1;3;3
1017;3;3;3
1016;0;3;3
1015;2;3;3
1014;1;3;3
1013;3;3;3
1012;0;3;3
1011;2;3;3
1010;1;3;3
1009;3;3;3
1008;0;3;3
1007;2;3;3
1006;1;3;3
1005;3;3;3
1004;0;3;3
1003;2;3;3
1002;1;3;3
1001;3;3;3
1000;0;3;3
999;2;3;3
998;1;3;3
997;3;3;3
996;0;3;3
995;2;3;3
994;1;3;3
993;3;3;3
992;0;3;3
991;2;3;3
990;1;3;3
989;3;3;3
988;0;3;3
987;2;3;3
986;1;3;3
985;3;3;3
984;0;3;3
983;2;3;3
982;1;3;3
981;3;3;3
980;0;3;3
979;2;3;3
978;1;3;3
977;3;3;3
976;0;3;3
975;2;3;3
974;1;3;3
973;3;3;3
972;0;3;3
971;2;3;3
970;1;3;3
969;3;3;3
968;0;3;3
967;2;3;3
966;1;3;3
965;3;3;3
964;0;3;3
963;2;3;3
962;1;3;3
961;3;3;3
960;0;3;3
959;2;3;3
958;1;3;3
957;3;3;3
956;0;3;3
955;2;3;3
954;1;3;3
953;3;3;3
952;0;3;3
951;2;3;3
950;1;3;3
949;3;3;3
948;0;3;3
947;2;3;3
946;1;3;3
945;3;3;3
944;0;3;3
943;2;3;3
942;1;3;3
941;3;3;3
940;0;3;3
939;2;3;3
938;1;3;3
937;3;3;3
936;0;3;3
935;2;3;3
934;1;3;3
933;3;3;3
932;0;3;3
931;2;3;3
930;1;3;3
929;3;3;3
928;0;3;3
927;2;3;3
926;1;3;3
925;3;3;3
924;0;3;3
923;2;3;3
922;1;3;3
921;3;3;3
920;0;3;3
919;2;3;3
918;1;3;3
917;3;3;3
916;0;3;3
915;2;3;3
914;1;3;3
913;3;3;3
912;0;3;3
911;2;3;3
910;1;3;3
909;3;3;3
908;0;3;3
907;2;3;3
906;1;3;3
905;3;3;3
904;0;3;3
903;2;3;3
902;1;3;3
901;3;3;3
900;0;3;3
899;2;3;3
898;1;3;3
897;3;3;3
896;0;3;3
895;2;3;3
894;1;3;3
893;3;3;3
892;0;3;3
891;2;3;3
890;1;3;3
889;3;3;3
888;0;3;3
887;2;3;3
886;1;3;3
885;3;3;3
884;0;3;3
883;2;3;3
882;1;3;3
881;3;3;3
880;0;3;3
879;2;3;3
878;1;3;3
877;3;3;3
876;0;3;3
875;2;3;3
874;1;3;3
873;3;3;3
872;0;3;3
871;2;3;3
870;1;3;3
869;3;3;3
868;0;3;3
867;2;3;3
866;1;3;3
865;3;3;3
864;0;3;3
863;2;3;3
862;1;3;3
861;3;3;3
860;0;3;3
859;2;3;3
858;1;3;3
857;3;3;3
856;0;3;3
855;2;3;3
854;1;3;3
853;3;3;3
852;0;3;3
851;2;3;3
850;1;3;3
849;3;3;3
848;0;3;3
847;2;3;3
846;1;3;3
845;3;3;3
844;0;3;3
843;2;3;3
842;1;3;3
841;3;3;3
840;0;3;3
839;2;3;3
838;1;3;3
837;3;3;3
836;0;3;3
835;2;3;3
834;1;3;3
833;3;2;2
832;0;4;4
831;2;3;3
830;1;3;3
829;3;2;2
828;0;4;4
827;2;3;3
826;1;3;3
825;3;2;2
824;0;4;4
823;2;3;3
822;1;3;3
821;3;2;2
820;0;4;4
819;2;3;3
818;1;3;3
817;3;2;2
816;0;4;4
815;2;3;3
814;1;3;3
813;3;2;2
812;0;4;4
811;2;3;3
810;1;3;3
809;3;2;2
808;0;4;4
807;2;3;3
806;1;3;3
805;3;2;2
804;0;4;4
803;2;3;3
802;1;3;3
801;3;2;2
800;0;4;4
799;2;3;3
798;1;3;3
797;3;2;2
796;0;4;4
795;2;3;3
794;1;3;3
793;3;2;2
792;0;4;4
791;2;3;3
790;1;3;3
789;3;2;2
788;0;4;4
787;2;3;3
786;1;3;3
785;3;2;2
784;0;4;4
783;2;3;3
782;1;3;3
781;3;2;2
780;0;4;4
779;2;3;3
778;1;3;3
777;3;2;2
776;0;4;4
775;2;3;3
774;1;3;3
773;3;2;2
772;0;4;4
771;2;3;3
770;1;3;3
769;3;2;2
768;0;4;4
767;2;3;3
766;1;3;3
765;3;2;2
764;0;4;4
763;2;3;3
762;1;3;3
761;3;2;2
760;0;4;4
759;2;3;3
758;1;3;3
757;3;2;2
756;0;4;4
755;2;3;3
754;1;3;3
753;3;2;2
752;0;4;4
751;2;3;3
750;1;3;3
749;3;2;2
748;0;4;4
747;2;3;3
746;1;3;3
745;3;2;2
744;0;4;4
743;2;3;3
742;1;3;3
741;3;2;2
740;0;4;4
739;2;3;3
738;1;3;3
737;3;2;2
736;0;4;4
735;2;3;3
734;1;3;3
733;3;2;2
732;0;4;4
731;2;3;3
730;1;3;3
729;3;2;2
728;0;4;4
727;2;3;3
726;1;3;3
725;3;2;2
724;0;4;4
723;2;3;3
722;1;3;3
721;3;2;2
720;0;4;4
719;2;3;3
718;1;3;3
717;3;2;2
716;0;4;4
715;2;3;3
714;1;3;3
713;3;2;2
712;0;4;4
711;2;3;3
710;1;3;3
709;3;2;2
708;0;4;4
707;2;3;3
706;1;3;3
705;3;2;2
704;0;4;4
703;2;3;3
702;1;3;3
701;3;2;2
700;0;4;4
699;2;3;3
698;1;3;3
697;3;2;2
696;0;4;4
695;2;3;3
694;1;3;3
693;3;2;2
692;0;4;4
691;2;3;3
690;1;3;3
689;3;2;2
688;0;4;4
687;2;3;3
686;1;3;3
685;3;2;2
684;0;4;4
683;2;3;3
682;1;3;3
681;3;2;2
680;0;4;4
679;2;3;3
678;1;3;3
677;3;2;2
676;0;4;4
675;2;3;3
674;1;3;3
673;3;2;2
672;0;4;4
671;2;3;3
670;1;3;3
669;3;2;2
668;0;4;4
667;2;3;3
666;1;3;3
665;3;2;2
664;0;4;4
663;2;3;3
662;1;3;3
661;3;2;2
660;0;4;4
659;2;3;3
658;1;3;3
657;3;2;2
656;0;4;4
655;2;3;3
654;1;3;3
653;3;2;2
652;0;4;4
651;2;3;3
650;1;3;3
649;3;2;2
648;0;4;4
647;2;3;3
646;1;3;3
645;3;2;2
644;0;4;4
643;2;3;3
642;1;3;3
