Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
2014;1;2;2;-1;-2;-1.0014581510644502
2013;3;6;6;3;2;2.5014704221024076
2012;0;1;1;-2;-3;-2.499294925743065
2011;2;4;4;1;0;0.9988475553525458
2010;1;2;2;0;-1;-0.9979769239261893
2009;3;5;5;3;2;2.492765189843464
2008;0;1;1;-2;-3;-2.4905875282633048
2007;2;4;4;1;0;0.9953637299491485
2006;1;2;2;0;-1;-0.9944922317879685
2005;3;5;5;3;2;2.4840512918521256
2004;0;1;1;-2;-3;-2.4818714618170574
2003;2;4;4;1;0;0.991876435664869
2002;1;2;2;0;-1;-0.991004069473937
2001;3;5;5;3;2;2.4753287151823358
2000;0;1;1;-2;-3;-2.4731467134518113
1999;2;4;4;1;0;0.9883856673161286
1998;1;2;2;0;-1;-0.9875124317979376
1997;3;5;5;3;2;2.466597446862224
1996;0;1;1;-2;-3;-2.4644132701892367
1995;2;4;4;1;0;0.9848914197090117
1994;1;2;2;0;-1;-0.9840173135634638
1993;3;5;5;3;2;2.45785747389408
1992;0;1;1;-2;-3;-2.4556711190251512
1991;2;4;4;1;0;0.9813936876392457
1990;1;2;2;0;-1;-0.9805187095636505
1989;3;5;5;3;2;2.4491087832542355
1988;0;1;1;-2;-3;-2.446920246929391
1987;2;4;4;1;0;0.9778924658921726
1986;1;2;2;0;-1;-0.9770166145812409
1985;3;5;5;3;2;2.440351361893047
1984;0;1;1;-2;-3;-2.4381606408458047
1983;2;4;4;1;0;0.9743877492427222
1982;1;2;2;0;-1;-0.973511023388558
1981;3;5;5;3;2;2.431585196734801
1980;0;1;1;-2;-3;-2.4293922876921563
1979;2;4;4;1;0;0.9708795324553936
1978;1;2;2;0;-1;-0.9700019307474852
1977;3;5;5;3;2;2.4228102746776727
1976;0;1;1;-2;-3;-2.4206151743600763
1975;2;4;4;1;0;0.9673678102842178
1974;1;2;2;0;-1;-0.9664893314094396
1973;3;5;5;3;2;2.414026582593639
1972;0;1;1;-2;-3;-2.4118292877149834
1971;2;4;4;1;0;0.9638525774727373
1970;1;2;2;0;-1;-0.9629732201153303
1969;3;5;5;3;2;2.405234107328422
1968;0;1;1;-2;-3;-2.4030346145960344
1967;2;4;4;1;0;0.9603338287539849
1966;1;2;2;0;-1;-0.9594535915955591
1965;3;5;5;3;2;2.396432835701429
1964;0;1;1;-2;-3;-2.3942311418160394
1963;2;4;4;1;0;0.9568115588504469
1962;1;2;2;0;-1;-0.9559304405699756
1961;3;5;5;3;2;2.387622754505678
1960;0;1;1;-2;-3;-2.3854188561614116
1959;2;4;4;1;0;0.9532857624740432
1958;1;2;2;0;-1;-0.9524037617478509
1957;3;5;5;3;2;2.3788038505077367
1956;0;1;1;-2;-3;-2.376597744392093
1955;2;4;4;1;0;0.9497564343260985
1954;1;2;2;0;-1;-0.9488735498278595
1953;3;5;5;3;2;2.369976110447652
1952;0;1;1;-2;-3;-2.367767793241491
1951;2;4;4;1;0;0.9462235690973202
1950;1;2;2;0;-1;-0.9453397994980506
1949;3;5;5;3;2;2.3611395210388864
1948;0;1;1;-2;-3;-2.3589289894164054
1947;2;4;4;1;0;0.9426871614677683
1946;1;2;2;0;-1;-0.9418025054358115
1945;3;5;5;3;2;2.3522940689682486
1944;0;1;1;-2;-3;-2.3500813195969954
1943;2;4;4;1;0;0.9391472061068233
1942;1;2;2;0;-1;-0.9382616623078572
1941;3;5;5;3;2;2.343439740895846
1940;0;1;1;-2;-3;-2.341224770436643
1939;2;4;4;1;0;0.9356036976731721
1938;1;2;2;0;-1;-0.9347172647701916
1937;3;5;5;3;2;2.3345765234549702
1936;0;1;1;-2;-3;-2.3323593285619566
1935;2;4;4;1;0;0.9320566308147695
1934;1;2;2;0;-1;-0.9311693074680853
1933;3;5;5;3;2;2.325704403252079
1932;0;1;1;-2;-3;-2.3234849805726796
1931;2;4;4;1;0;0.9285060001688166
1930;1;2;2;0;-1;-0.9276177850360439
1929;3;5;5;3;2;2.3168233668667177
1928;0;1;1;-2;-3;-2.3146017130415864
1927;2;4;4;1;0;0.9249518003617343
1926;1;2;2;0;-1;-0.9240626920977926
1925;3;5;5;3;2;2.3079334008514287
1924;0;1;1;-2;-3;-2.3057095125144755
1923;2;4;4;1;0;0.9213940260091338
1922;1;2;2;0;-1;-0.9205040232662318
1921;3;5;5;3;2;2.2990344917316996
1920;0;1;1;-2;-3;-2.296808365510074
1919;2;4;4;1;0;0.9178326717157894
1918;1;2;2;0;-1;-0.9169417731434253
1917;3;5;5;3;2;2.290126626005904
1916;0;1;1;-2;-3;-2.287898258519945
1915;2;4;4;1;0;0.9142677320756141
1914;1;2;2;0;-1;-0.9133759363205662
1913;3;5;5;3;2;2.2812097901452155
1912;0;1;1;-2;-3;-2.2789791780084627
1911;2;4;4;1;0;0.9106992016716298
1910;1;2;2;0;-1;-0.9098065073779482
1909;3;5;5;3;2;2.2722839705935485
1908;0;1;1;-2;-3;-2.270051110412716
1907;2;4;4;1;0;0.9071270750759401
1906;1;2;2;0;-1;-0.906233480884941
1905;3;5;5;3;2;2.2633491537674963
1904;0;1;1;-2;-3;-2.2611140421424416
1903;2;4;4;1;0;0.9035513468497056
1902;1;2;2;0;-1;-0.9026568513999651
1901;3;5;5;3;2;2.2544053260562364
1900;0;1;1;-2;-3;-2.252167959579978
1899;2;4;4;1;0;0.8999720115431087
1898;1;2;2;0;-1;-0.8990766134704549
1897;3;5;5;3;2;2.2454524738214943
1896;0;1;1;-2;-3;-2.2432128490801624
1895;2;4;4;1;0;0.8963890636953327
1894;1;2;2;0;-1;-0.8954927616328421
1893;3;5;5;3;2;2.2364905833974618
1892;0;1;1;-2;-3;-2.234248696970287
1891;2;4;4;1;0;0.8928024978345368
1890;1;2;2;0;-1;-0.8919052904125202
1889;3;5;5;3;2;2.2275196410907085
1888;0;1;1;-2;-3;-2.225275489550011
1887;2;4;4;1;0;0.8892123084778198
1886;1;2;2;0;-1;-0.8883141943238204
1885;3;5;5;3;2;2.218539633180132
1884;0;1;1;-2;-3;-2.2162932130913156
1883;2;4;4;1;0;0.8856184901311979
1882;1;2;2;0;-1;-0.8847194678699841
1881;3;5;5;3;2;2.2095505459169047
1880;0;1;1;-2;-3;-2.2073018538384055
1879;2;4;4;1;0;0.8820210372895705
1878;1;2;2;0;-1;-0.8811211055431318
1877;3;5;5;3;2;2.2005523655243593
1876;0;1;1;-2;-3;-2.198301398007658
1875;2;4;4;1;0;0.8784199444367058
1874;1;2;2;0;-1;-0.8775191018242339
1873;3;5;5;3;2;2.1915450781979438
1872;0;1;1;-2;-3;-2.18929183178755
1871;2;4;4;1;0;0.8748152060451924
1870;1;2;2;0;-1;-0.8739134511830908
1869;3;5;5;3;2;2.182528670105171
1868;0;1;1;-2;-3;-2.1802731413385636
1867;2;4;4;1;0;0.8712068165764286
1866;1;2;2;0;-1;-0.8703041480782945
1865;3;5;5;3;2;2.1735031273854943
1864;0;1;1;-2;-3;-2.171245312793168
1863;2;4;4;1;0;0.86759477048059
1862;1;2;2;0;-1;-0.8666911869572065
