Pixel;Row;Round Correction Value Signed;Round Correction Value Unsigned;Ceil Correction Value;Floor Correction Value;Float Correction Value
2014;1;7;7;0;0;0.0
2013;3;7;7;0;-1;-0.0024861813853966908
2012;0;7;7;1;0;0.004972980957422379
2011;2;7;7;0;-1;-0.002984159578671708
2010;1;7;7;1;0;0.00397937423355188
2009;3;7;7;0;-1;-0.012437091099844366
2008;0;7;7;1;0;0.014926365725518309
2007;2;7;7;0;-1;-0.00696650387678055
2006;1;7;7;1;0;0.007962709292126391
2005;3;7;7;0;-1;-0.022397906571899995
2004;0;7;7;1;0;0.02488965994810144
2003;2;7;7;0;-1;-0.010952813436173159
2002;1;7;7;1;0;0.011950011092213941
2001;3;7;7;0;-1;-0.032368642600143716
2000;0;7;7;1;0;0.03486287843112379
1999;2;7;7;0;-1;-0.014943094182180872
1998;1;7;7;1;0;0.01594128556208929
1997;3;7;7;0;-1;-0.04234931401264319
1996;0;7;7;1;0;0.04484603601003556
1995;2;7;7;0;-1;-0.01893735205193714
1994;1;7;7;1;0;0.01993653864184708
1993;3;7;7;0;-1;-0.05233993566703887
1992;0;7;7;1;0;0.05483914754988106
1991;2;7;7;0;-1;-0.02293559299442549
1990;1;7;7;1;0;0.02393577628343735
1989;3;7;7;0;-1;-0.062340522450615055
1988;0;7;7;1;0;0.06484222794536976
1987;2;7;7;0;-1;-0.026937822970495517
1986;1;7;7;1;0;0.02793900445067976
1985;3;7;7;0;-1;-0.07235108928035672
1984;0;7;7;1;0;0.07485529212092246
1983;2;7;7;0;-1;-0.0309440479528984
1982;1;7;7;1;0;0.03194622911930445
1981;3;7;7;0;-1;-0.082371651103049
1980;0;7;7;1;0;0.084878355030785
1979;2;7;7;0;-1;-0.034954273926311785
1978;1;7;7;1;0;0.03595745627697866
1977;3;7;7;0;-1;-0.09240222289532696
1976;0;7;7;1;0;0.0949114316590709
1975;2;7;7;0;-1;-0.03896850688737885
1974;1;7;7;1;0;0.03997269192333874
1973;3;7;7;0;-1;-0.10244281966377144
1972;0;7;7;1;0;0.10495453701985724
1971;2;7;7;0;-1;-0.04298675284472964
1970;1;7;7;1;0;0.043991942070016776
1969;3;7;7;0;-1;-0.11249345644498732
1968;0;7;7;1;0;0.1150076861572451
1967;2;7;7;0;-1;-0.047009017819011234
1966;1;7;7;1;0;0.048015212740670776
1965;3;7;7;0;-1;-0.12255414830562472
1964;0;7;7;1;0;0.12507089414544126
1963;2;7;7;0;-1;-0.05103530784292687
1962;1;7;7;1;0;0.052042509971014894
1961;3;7;7;0;-1;-0.13262491034253898
1960;0;7;7;1;0;0.13514417608884344
1959;2;7;7;0;-1;-0.055065628961248336
1958;1;7;7;1;0;0.05607383980885672
1957;3;7;7;0;-1;-0.1427057576827977
1956;0;7;7;1;0;0.14522754712210073
1955;2;7;7;0;-1;-0.059099987230871065
1954;1;7;7;1;0;0.06010920831411504
1953;3;7;7;0;-1;-0.15279670548379087
1952;0;7;7;1;0;0.1553210224101811
1951;2;7;7;0;-1;-0.063138388720823
1950;1;7;7;1;0;0.06414862155885892
1949;3;7;7;0;-1;-0.16289776893329844
1948;0;7;7;1;0;0.16542461714847434
1947;2;7;7;0;-1;-0.06718083951230014
1946;1;7;7;1;0;0.06819208562733614
1945;3;7;7;0;-1;-0.17300896324956128
1944;0;7;7;1;0;0.1755383465628526
1943;2;7;7;0;-1;-0.07122734569870914
1942;1;7;7;1;0;0.07223960661600337
1941;3;7;7;0;-1;-0.1831303036813594
1940;0;7;7;1;0;0.1856622259097449
1939;2;7;7;0;-1;-0.0752779133856798
1938;1;7;7;1;0;0.07629119063355638
1937;3;7;7;0;-1;-0.1932618055081008
1936;0;7;7;1;0;0.19579627047621884
