Pixel;Row;Correction Value Signed;Correction Value Unsigned
2014;1;13;13
2013;3;13;13
2012;0;13;13
2011;2;13;13
2010;1;13;13
2009;3;13;13
2008;0;13;13
2007;2;13;13
2006;1;13;13
2005;3;13;13
2004;0;13;13
2003;2;13;13
2002;1;13;13
2001;3;13;13
2000;0;13;13
1999;2;13;13
1998;1;13;13
1997;3;13;13
1996;0;13;13
1995;2;13;13
1994;1;13;13
1993;3;13;13
1992;0;13;13
1991;2;13;13
1990;1;13;13
1989;3;13;13
1988;0;13;13
1987;2;13;13
1986;1;13;13
1985;3;13;13
1984;0;13;13
1983;2;13;13
1982;1;13;13
1981;3;13;13
1980;0;13;13
1979;2;13;13
1978;1;13;13
1977;3;13;13
1976;0;13;13
1975;2;13;13
1974;1;13;13
1973;3;13;13
1972;0;13;13
1971;2;13;13
1970;1;13;13
1969;3;13;13
1968;0;13;13
1967;2;13;13
1966;1;13;13
1965;3;13;13
1964;0;13;13
1963;2;13;13
1962;1;13;13
1961;3;13;13
1960;0;13;13
1959;2;13;13
1958;1;13;13
1957;3;13;13
1956;0;13;13
1955;2;13;13
1954;1;13;13
1953;3;13;13
1952;0;13;13
1951;2;13;13
1950;1;13;13
1949;3;13;13
1948;0;13;13
1947;2;13;13
1946;1;13;13
1945;3;13;13
1944;0;13;13
1943;2;13;13
1942;1;13;13
1941;3;13;13
1940;0;13;13
1939;2;13;13
1938;1;13;13
1937;3;13;13
1936;0;13;13
1935;2;13;13
1934;1;13;13
1933;3;13;13
1932;0;13;13
1931;2;13;13
1930;1;13;13
1929;3;13;13
1928;0;13;13
1927;2;13;13
1926;1;13;13
1925;3;13;13
1924;0;13;13
1923;2;13;13
1922;1;13;13
1921;3;13;13
1920;0;13;13
1919;2;13;13
1918;1;13;13
1917;3;13;13
1916;0;13;13
1915;2;13;13
1914;1;13;13
1913;3;12;12
1912;0;14;14
1911;2;13;13
1910;1;13;13
1909;3;12;12
1908;0;14;14
1907;2;13;13
1906;1;13;13
1905;3;12;12
1904;0;14;14
1903;2;13;13
1902;1;13;13
1901;3;12;12
1900;0;14;14
1899;2;13;13
1898;1;13;13
1897;3;12;12
1896;0;14;14
1895;2;13;13
1894;1;13;13
1893;3;12;12
1892;0;14;14
1891;2;13;13
1890;1;13;13
1889;3;12;12
1888;0;14;14
1887;2;13;13
1886;1;13;13
1885;3;12;12
1884;0;14;14
1883;2;13;13
1882;1;13;13
1881;3;12;12
1880;0;14;14
1879;2;13;13
1878;1;13;13
1877;3;12;12
1876;0;14;14
1875;2;13;13
1874;1;13;13
1873;3;12;12
1872;0;14;14
