Pixel;Row;Correction Value Signed;Correction Value Unsigned
1417;1;6;6
1416;3;6;6
1415;0;6;6
1414;2;6;6
1413;1;6;6
1412;3;6;6
1411;0;6;6
1410;2;6;6
1409;1;6;6
1408;3;6;6
1407;0;6;6
1406;2;6;6
1405;1;6;6
1404;3;6;6
1403;0;6;6
1402;2;6;6
1401;1;6;6
1400;3;6;6
1399;0;6;6
1398;2;6;6
1397;1;6;6
1396;3;6;6
1395;0;6;6
1394;2;6;6
1393;1;6;6
1392;3;6;6
1391;0;6;6
1390;2;6;6
1389;1;6;6
1388;3;6;6
1387;0;6;6
1386;2;6;6
1385;1;6;6
1384;3;6;6
1383;0;6;6
1382;2;6;6
1381;1;6;6
1380;3;6;6
1379;0;6;6
1378;2;6;6
1377;1;6;6
1376;3;6;6
1375;0;6;6
1374;2;6;6
1373;1;6;6
1372;3;6;6
1371;0;6;6
1370;2;6;6
1369;1;6;6
1368;3;6;6
1367;0;6;6
1366;2;6;6
1365;1;6;6
1364;3;6;6
1363;0;6;6
1362;2;6;6
1361;1;6;6
1360;3;6;6
1359;0;6;6
1358;2;6;6
1357;1;6;6
1356;3;6;6
1355;0;6;6
1354;2;6;6
1353;1;6;6
1352;3;6;6
1351;0;6;6
1350;2;6;6
1349;1;6;6
1348;3;6;6
1347;0;6;6
1346;2;6;6
1345;1;6;6
1344;3;6;6
1343;0;6;6
1342;2;6;6
1341;1;6;6
1340;3;6;6
1339;0;6;6
1338;2;6;6
1337;1;6;6
1336;3;6;6
1335;0;6;6
1334;2;6;6
1333;1;6;6
1332;3;6;6
1331;0;6;6
1330;2;6;6
1329;1;6;6
1328;3;6;6
1327;0;6;6
1326;2;6;6
1325;1;6;6
1324;3;6;6
1323;0;6;6
1322;2;6;6
1321;1;6;6
1320;3;6;6
1319;0;6;6
1318;2;6;6
1317;1;6;6
1316;3;6;6
1315;0;6;6
1314;2;6;6
1313;1;6;6
1312;3;6;6
1311;0;6;6
1310;2;6;6
1309;1;6;6
1308;3;6;6
1307;0;6;6
1306;2;6;6
1305;1;6;6
1304;3;6;6
1303;0;6;6
1302;2;6;6
1301;1;6;6
1300;3;6;6
1299;0;6;6
1298;2;6;6
1297;1;6;6
1296;3;6;6
1295;0;6;6
1294;2;6;6
1293;1;6;6
1292;3;6;6
1291;0;6;6
1290;2;6;6
1289;1;6;6
1288;3;6;6
1287;0;6;6
1286;2;6;6
1285;1;6;6
1284;3;6;6
1283;0;6;6
1282;2;6;6
1281;1;6;6
1280;3;6;6
1279;0;6;6
1278;2;6;6
1277;1;6;6
1276;3;6;6
1275;0;6;6
1274;2;6;6
1273;1;6;6
1272;3;6;6
1271;0;6;6
1270;2;6;6
1269;1;6;6
1268;3;6;6
1267;0;6;6
1266;2;6;6
1265;1;6;6
1264;3;6;6
1263;0;6;6
1262;2;6;6
1261;1;6;6
1260;3;5;5
1259;0;7;7
1258;2;6;6
1257;1;6;6
1256;3;5;5
1255;0;7;7
1254;2;6;6
1253;1;6;6
1252;3;5;5
1251;0;7;7
1250;2;6;6
1249;1;6;6
1248;3;5;5
1247;0;7;7
1246;2;6;6
1245;1;6;6
1244;3;5;5
1243;0;7;7
1242;2;6;6
1241;1;6;6
1240;3;5;5
1239;0;7;7
1238;2;6;6
1237;1;6;6
1236;3;5;5
1235;0;7;7
1234;2;6;6
1233;1;6;6
1232;3;5;5
1231;0;7;7
1230;2;6;6
1229;1;6;6
1228;3;5;5
1227;0;7;7
1226;2;6;6
1225;1;6;6
1224;3;5;5
1223;0;7;7
1222;2;6;6
1221;1;6;6
1220;3;5;5
