Pixel;Row;Correction Value Signed;Correction Value Unsigned
1417;1;11;11
1416;3;11;11
1415;0;11;11
1414;2;11;11
1413;1;11;11
1412;3;11;11
1411;0;11;11
1410;2;11;11
1409;1;11;11
1408;3;11;11
1407;0;11;11
1406;2;11;11
1405;1;11;11
1404;3;11;11
1403;0;11;11
1402;2;11;11
1401;1;11;11
1400;3;11;11
1399;0;11;11
1398;2;11;11
1397;1;11;11
1396;3;11;11
1395;0;11;11
1394;2;11;11
1393;1;11;11
1392;3;11;11
1391;0;11;11
1390;2;11;11
1389;1;11;11
1388;3;11;11
1387;0;11;11
1386;2;11;11
1385;1;11;11
1384;3;11;11
1383;0;11;11
1382;2;11;11
1381;1;11;11
1380;3;11;11
1379;0;11;11
1378;2;11;11
1377;1;11;11
1376;3;11;11
1375;0;11;11
1374;2;11;11
1373;1;11;11
1372;3;11;11
1371;0;11;11
1370;2;11;11
1369;1;11;11
1368;3;11;11
1367;0;11;11
1366;2;11;11
1365;1;11;11
1364;3;11;11
1363;0;11;11
1362;2;11;11
1361;1;11;11
1360;3;11;11
1359;0;11;11
1358;2;11;11
1357;1;11;11
1356;3;11;11
1355;0;11;11
1354;2;11;11
1353;1;11;11
1352;3;11;11
1351;0;11;11
1350;2;11;11
1349;1;11;11
1348;3;11;11
1347;0;11;11
1346;2;11;11
1345;1;11;11
1344;3;11;11
1343;0;11;11
1342;2;11;11
1341;1;11;11
1340;3;11;11
1339;0;11;11
1338;2;11;11
1337;1;11;11
1336;3;10;10
1335;0;12;12
1334;2;11;11
1333;1;11;11
1332;3;10;10
1331;0;12;12
1330;2;11;11
1329;1;11;11
1328;3;10;10
1327;0;12;12
1326;2;11;11
1325;1;11;11
1324;3;10;10
1323;0;12;12
1322;2;11;11
1321;1;11;11
1320;3;10;10
1319;0;12;12
1318;2;11;11
1317;1;11;11
1316;3;10;10
1315;0;12;12
1314;2;11;11
1313;1;11;11
1312;3;10;10
1311;0;12;12
1310;2;11;11
1309;1;11;11
1308;3;10;10
1307;0;12;12
1306;2;11;11
1305;1;11;11
1304;3;10;10
1303;0;12;12
1302;2;11;11
1301;1;11;11
1300;3;10;10
1299;0;12;12
1298;2;11;11
1297;1;11;11
1296;3;10;10
1295;0;12;12
1294;2;11;11
1293;1;11;11
1292;3;10;10
1291;0;12;12
1290;2;11;11
1289;1;11;11
1288;3;10;10
1287;0;12;12
1286;2;11;11
1285;1;11;11
1284;3;10;10
1283;0;12;12
1282;2;11;11
1281;1;11;11
1280;3;10;10
1279;0;12;12
1278;2;11;11
1277;1;11;11
1276;3;10;10
1275;0;12;12
1274;2;11;11
1273;1;11;11
1272;3;10;10
1271;0;12;12
1270;2;11;11
1269;1;11;11
1268;3;10;10
1267;0;12;12
1266;2;11;11
1265;1;11;11
1264;3;10;10
1263;0;12;12
1262;2;11;11
1261;1;11;11
1260;3;10;10
1259;0;12;12
1258;2;11;11
1257;1;11;11
1256;3;10;10
1255;0;12;12
1254;2;11;11
1253;1;11;11
1252;3;10;10
1251;0;12;12
1250;2;11;11
1249;1;11;11
1248;3;10;10
1247;0;12;12
1246;2;11;11
1245;1;11;11
1244;3;10;10
1243;0;12;12
1242;2;11;11
1241;1;11;11
1240;3;10;10
1239;0;12;12
1238;2;11;11
1237;1;11;11
1236;3;10;10
1235;0;12;12
1234;2;11;11
1233;1;11;11
1232;3;10;10
1231;0;12;12
1230;2;11;11
1229;1;11;11
1228;3;10;10
1227;0;12;12
1226;2;11;11
1225;1;11;11
1224;3;10;10
1223;0;12;12
1222;2;10;10
1221;1;12;12
1220;3;10;10
1219;0;12;12
1218;2;10;10
1217;1;12;12
1216;3;10;10
1215;0;12;12
1214;2;10;10
1213;1;12;12
1212;3;10;10
1211;0;12;12
1210;2;10;10
1209;1;12;12
1208;3;10;10
1207;0;12;12
1206;2;10;10
1205;1;12;12
1204;3;10;10
1203;0;12;12
1202;2;10;10
1201;1;12;12
1200;3;10;10
1199;0;12;12
1198;2;10;10
1197;1;12;12
1196;3;10;10
1195;0;12;12
1194;2;10;10
1193;1;12;12
1192;3;10;10
1191;0;12;12
1190;2;10;10
1189;1;12;12
1188;3;10;10
1187;0;13;13
1186;2;10;10
1185;1;12;12
1184;3;9;9
1183;0;13;13
1182;2;10;10
1181;1;12;12
1180;3;9;9
1179;0;13;13
1178;2;10;10
1177;1;12;12
1176;3;9;9
1175;0;13;13
1174;2;10;10
1173;1;12;12
1172;3;9;9
1171;0;13;13
1170;2;10;10
1169;1;12;12
1168;3;9;9
1167;0;13;13
1166;2;10;10
1165;1;12;12
1164;3;9;9
1163;0;13;13
1162;2;10;10
1161;1;12;12
1160;3;9;9
1159;0;13;13
1158;2;10;10
1157;1;12;12
1156;3;9;9
1155;0;13;13
1154;2;10;10
1153;1;12;12
1152;3;9;9
1151;0;13;13
1150;2;10;10
1149;1;12;12
1148;3;9;9
1147;0;13;13
1146;2;10;10
1145;1;12;12
1144;3;9;9
1143;0;13;13
1142;2;10;10
1141;1;12;12
1140;3;9;9
1139;0;13;13
1138;2;10;10
1137;1;12;12
1136;3;9;9
1135;0;13;13
1134;2;10;10
1133;1;12;12
1132;3;9;9
1131;0;13;13
1130;2;10;10
1129;1;12;12
1128;3;9;9
1127;0;13;13
1126;2;10;10
1125;1;12;12
1124;3;9;9
1123;0;13;13
