Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;1;5;5
1023;3;1;1
1022;0;7;7
1021;2;3;3
1020;1;5;5
1019;3;1;1
1018;0;7;7
1017;2;3;3
1016;1;5;5
1015;3;1;1
1014;0;7;7
1013;2;3;3
1012;1;5;5
1011;3;1;1
1010;0;7;7
1009;2;3;3
1008;1;5;5
1007;3;1;1
1006;0;7;7
1005;2;3;3
1004;1;5;5
1003;3;1;1
1002;0;7;7
1001;2;3;3
1000;1;5;5
999;3;1;1
998;0;7;7
997;2;3;3
996;1;5;5
995;3;1;1
994;0;7;7
993;2;3;3
992;1;5;5
991;3;1;1
990;0;7;7
989;2;3;3
988;1;5;5
987;3;1;1
986;0;7;7
985;2;3;3
984;1;5;5
983;3;1;1
982;0;7;7
981;2;3;3
980;1;5;5
979;3;1;1
978;0;7;7
977;2;3;3
976;1;5;5
975;3;1;1
974;0;7;7
973;2;3;3
972;1;5;5
971;3;1;1
970;0;7;7
969;2;3;3
968;1;5;5
967;3;1;1
966;0;7;7
965;2;3;3
964;1;5;5
963;3;1;1
962;0;7;7
961;2;3;3
960;1;5;5
959;3;1;1
958;0;7;7
957;2;3;3
956;1;5;5
955;3;1;1
954;0;7;7
953;2;3;3
952;1;5;5
951;3;1;1
950;0;7;7
949;2;3;3
948;1;5;5
947;3;1;1
946;0;7;7
945;2;3;3
944;1;5;5
943;3;1;1
942;0;7;7
941;2;3;3
940;1;5;5
939;3;1;1
938;0;7;7
937;2;3;3
936;1;5;5
935;3;1;1
934;0;7;7
933;2;3;3
932;1;5;5
931;3;1;1
930;0;7;7
929;2;3;3
928;1;5;5
927;3;1;1
926;0;7;7
925;2;3;3
924;1;5;5
923;3;1;1
922;0;7;7
921;2;3;3
920;1;5;5
919;3;1;1
918;0;7;7
917;2;3;3
916;1;5;5
915;3;1;1
914;0;7;7
913;2;3;3
912;1;5;5
911;3;1;1
910;0;7;7
909;2;3;3
908;1;5;5
907;3;1;1
906;0;7;7
905;2;3;3
904;1;5;5
903;3;1;1
902;0;7;7
901;2;3;3
900;1;5;5
899;3;1;1
898;0;7;7
897;2;3;3
896;1;5;5
895;3;1;1
894;0;7;7
893;2;3;3
892;1;5;5
891;3;1;1
890;0;7;7
889;2;3;3
888;1;5;5
887;3;1;1
886;0;7;7
885;2;3;3
884;1;5;5
883;3;1;1
882;0;7;7
881;2;3;3
880;1;5;5
879;3;1;1
878;0;7;7
877;2;3;3
876;1;5;5
875;3;1;1
874;0;7;7
873;2;3;3
872;1;5;5
871;3;1;1
870;0;7;7
869;2;3;3
868;1;5;5
867;3;1;1
866;0;7;7
865;2;3;3
864;1;5;5
863;3;1;1
862;0;7;7
861;2;3;3
860;1;5;5
859;3;1;1
858;0;7;7
857;2;3;3
856;1;5;5
855;3;1;1
854;0;7;7
853;2;3;3
852;1;5;5
851;3;1;1
850;0;7;7
849;2;3;3
848;1;5;5
847;3;1;1
846;0;7;7
845;2;3;3
844;1;5;5
843;3;1;1
842;0;7;7
841;2;3;3
840;1;5;5
839;3;1;1
838;0;7;7
837;2;3;3
836;1;5;5
835;3;1;1
834;0;7;7
833;2;3;3
832;1;5;5
831;3;1;1
830;0;7;7
829;2;3;3
828;1;5;5
827;3;1;1
826;0;7;7
825;2;3;3
824;1;5;5
823;3;1;1
822;0;7;7
821;2;3;3
820;1;5;5
819;3;1;1
818;0;7;7
817;2;3;3
816;1;5;5
815;3;1;1
814;0;7;7
813;2;3;3
812;1;5;5
811;3;1;1
810;0;7;7
809;2;3;3
808;1;5;5
807;3;1;1
806;0;7;7
805;2;3;3
804;1;5;5
803;3;1;1
802;0;7;7
801;2;3;3
800;1;5;5
799;3;1;1
798;0;7;7
797;2;3;3
796;1;5;5
795;3;1;1
794;0;7;7
793;2;3;3
792;1;5;5
791;3;1;1
790;0;7;7
789;2;3;3
788;1;5;5
787;3;1;1
786;0;7;7
785;2;3;3
784;1;5;5
783;3;1;1
782;0;7;7
781;2;3;3
780;1;5;5
779;3;1;1
778;0;7;7
777;2;3;3
776;1;5;5
