Pixel;Row;Correction Value Signed;Correction Value Unsigned
2254;1;5;5
2253;3;12;12
2252;0;2;2
2251;2;9;9
2250;1;5;5
2249;3;12;12
2248;0;2;2
2247;2;9;9
2246;1;5;5
2245;3;12;12
2244;0;2;2
2243;2;9;9
2242;1;5;5
2241;3;12;12
2240;0;2;2
2239;2;9;9
2238;1;5;5
2237;3;12;12
2236;0;2;2
2235;2;9;9
2234;1;5;5
2233;3;12;12
2232;0;2;2
2231;2;9;9
2230;1;5;5
2229;3;12;12
2228;0;2;2
2227;2;9;9
2226;1;5;5
2225;3;12;12
2224;0;2;2
2223;2;9;9
2222;1;5;5
2221;3;12;12
2220;0;2;2
2219;2;9;9
2218;1;5;5
2217;3;12;12
2216;0;2;2
2215;2;9;9
2214;1;5;5
2213;3;12;12
2212;0;2;2
2211;2;9;9
2210;1;5;5
2209;3;12;12
2208;0;2;2
2207;2;9;9
2206;1;5;5
2205;3;12;12
2204;0;2;2
2203;2;9;9
2202;1;5;5
2201;3;12;12
2200;0;2;2
2199;2;9;9
2198;1;5;5
2197;3;12;12
2196;0;2;2
2195;2;9;9
2194;1;5;5
2193;3;12;12
2192;0;2;2
2191;2;9;9
2190;1;5;5
2189;3;12;12
2188;0;2;2
2187;2;9;9
2186;1;5;5
2185;3;12;12
2184;0;2;2
2183;2;9;9
2182;1;5;5
2181;3;12;12
2180;0;2;2
2179;2;9;9
2178;1;5;5
2177;3;12;12
2176;0;2;2
2175;2;9;9
2174;1;5;5
2173;3;12;12
2172;0;2;2
2171;2;9;9
2170;1;5;5
2169;3;12;12
2168;0;2;2
2167;2;9;9
2166;1;5;5
2165;3;12;12
2164;0;2;2
2163;2;9;9
2162;1;5;5
2161;3;12;12
2160;0;2;2
2159;2;9;9
2158;1;5;5
2157;3;12;12
2156;0;2;2
2155;2;9;9
2154;1;5;5
2153;3;12;12
2152;0;2;2
2151;2;9;9
2150;1;5;5
2149;3;12;12
2148;0;2;2
2147;2;9;9
2146;1;5;5
2145;3;12;12
2144;0;2;2
2143;2;9;9
2142;1;5;5
2141;3;12;12
2140;0;2;2
2139;2;9;9
2138;1;5;5
2137;3;12;12
2136;0;2;2
2135;2;9;9
2134;1;5;5
2133;3;12;12
2132;0;2;2
2131;2;9;9
2130;1;5;5
2129;3;12;12
2128;0;2;2
2127;2;9;9
2126;1;5;5
2125;3;12;12
2124;0;2;2
2123;2;9;9
2122;1;5;5
2121;3;12;12
2120;0;2;2
2119;2;9;9
2118;1;5;5
2117;3;12;12
2116;0;2;2
2115;2;9;9
2114;1;5;5
2113;3;12;12
2112;0;2;2
2111;2;9;9
2110;1;5;5
2109;3;12;12
2108;0;2;2
2107;2;9;9
2106;1;5;5
2105;3;12;12
2104;0;2;2
2103;2;9;9
2102;1;5;5
2101;3;12;12
2100;0;2;2
2099;2;9;9
2098;1;5;5
2097;3;12;12
2096;0;2;2
2095;2;9;9
2094;1;5;5
2093;3;12;12
2092;0;2;2
2091;2;9;9
2090;1;5;5
2089;3;12;12
2088;0;2;2
2087;2;9;9
2086;1;5;5
2085;3;12;12
2084;0;2;2
2083;2;9;9
2082;1;5;5
2081;3;12;12
2080;0;2;2
2079;2;9;9
2078;1;5;5
2077;3;12;12
2076;0;2;2
2075;2;9;9
2074;1;5;5
2073;3;12;12
2072;0;2;2
2071;2;9;9
2070;1;5;5
2069;3;12;12
2068;0;2;2
2067;2;9;9
2066;1;5;5
2065;3;12;12
2064;0;2;2
2063;2;9;9
2062;1;5;5
2061;3;12;12
2060;0;2;2
2059;2;9;9
2058;1;5;5
2057;3;12;12
2056;0;2;2
2055;2;9;9
2054;1;5;5
2053;3;12;12
2052;0;2;2
2051;2;9;9
2050;1;5;5
2049;3;12;12
2048;0;2;2
2047;2;9;9
2046;1;5;5
2045;3;11;11
2044;0;3;3
2043;2;9;9
2042;1;5;5
2041;3;11;11
2040;0;3;3
2039;2;9;9
2038;1;5;5
2037;3;11;11
2036;0;3;3
2035;2;9;9
2034;1;5;5
2033;3;11;11
2032;0;3;3
2031;2;9;9
2030;1;5;5
2029;3;11;11
2028;0;3;3
2027;2;9;9
2026;1;5;5
2025;3;11;11
2024;0;3;3
2023;2;9;9
2022;1;5;5
2021;3;11;11
2020;0;3;3
2019;2;9;9
2018;1;5;5
2017;3;11;11
2016;0;3;3
2015;2;9;9
2014;1;5;5
2013;3;11;11
2012;0;3;3
2011;2;9;9
2010;1;5;5
2009;3;11;11
2008;0;3;3
2007;2;9;9
2006;1;5;5
2005;3;11;11
2004;0;3;3
2003;2;9;9
2002;1;5;5
2001;3;11;11
2000;0;3;3
1999;2;9;9
1998;1;5;5
1997;3;11;11
1996;0;3;3
1995;2;9;9
1994;1;5;5
1993;3;11;11
1992;0;3;3
1991;2;9;9
1990;1;5;5
1989;3;11;11
1988;0;3;3
1987;2;9;9
1986;1;5;5
