Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;1;0;0
1023;3;0;0
1022;0;0;0
1021;2;0;0
1020;1;0;0
1019;3;0;0
1018;0;0;0
1017;2;0;0
1016;1;0;0
1015;3;0;0
1014;0;0;0
1013;2;0;0
1012;1;0;0
1011;3;0;0
1010;0;0;0
1009;2;0;0
1008;1;0;0
1007;3;0;0
1006;0;0;0
1005;2;0;0
1004;1;0;0
1003;3;0;0
1002;0;0;0
1001;2;0;0
1000;1;0;0
999;3;0;0
998;0;0;0
997;2;0;0
996;1;0;0
995;3;0;0
994;0;0;0
993;2;0;0
992;1;0;0
991;3;0;0
990;0;0;0
989;2;0;0
988;1;0;0
987;3;0;0
986;0;0;0
985;2;0;0
984;1;0;0
983;3;0;0
982;0;0;0
981;2;0;0
980;1;0;0
979;3;0;0
978;0;0;0
977;2;0;0
976;1;0;0
975;3;0;0
974;0;0;0
973;2;0;0
972;1;0;0
971;3;0;0
970;0;0;0
969;2;0;0
968;1;0;0
967;3;0;0
966;0;0;0
965;2;0;0
964;1;0;0
963;3;0;0
962;0;0;0
961;2;0;0
960;1;0;0
959;3;0;0
958;0;0;0
957;2;0;0
956;1;0;0
955;3;0;0
954;0;0;0
953;2;0;0
952;1;0;0
951;3;0;0
950;0;0;0
949;2;0;0
948;1;0;0
947;3;0;0
946;0;0;0
945;2;0;0
944;1;0;0
943;3;0;0
942;0;0;0
941;2;0;0
940;1;0;0
939;3;0;0
938;0;0;0
937;2;0;0
936;1;0;0
935;3;0;0
934;0;0;0
933;2;0;0
932;1;0;0
931;3;0;0
930;0;0;0
929;2;0;0
928;1;0;0
927;3;0;0
926;0;0;0
925;2;0;0
924;1;0;0
923;3;0;0
922;0;0;0
921;2;0;0
920;1;0;0
919;3;0;0
918;0;0;0
917;2;0;0
916;1;0;0
915;3;0;0
914;0;0;0
913;2;0;0
912;1;0;0
911;3;0;0
910;0;0;0
909;2;0;0
908;1;0;0
907;3;0;0
906;0;0;0
905;2;0;0
904;1;0;0
903;3;0;0
902;0;0;0
901;2;0;0
900;1;0;0
899;3;0;0
898;0;0;0
897;2;0;0
896;1;0;0
895;3;0;0
894;0;0;0
893;2;0;0
892;1;0;0
891;3;0;0
890;0;0;0
889;2;0;0
888;1;0;0
887;3;0;0
886;0;0;0
885;2;0;0
884;1;0;0
883;3;0;0
882;0;0;0
881;2;0;0
880;1;0;0
879;3;0;0
878;0;0;0
877;2;0;0
876;1;0;0
875;3;0;0
874;0;0;0
873;2;0;0
872;1;0;0
871;3;0;0
870;0;0;0
869;2;0;0
868;1;0;0
867;3;0;0
866;0;0;0
865;2;0;0
864;1;0;0
863;3;0;0
862;0;0;0
861;2;0;0
860;1;0;0
859;3;0;0
858;0;0;0
857;2;0;0
856;1;0;0
855;3;0;0
854;0;0;0
853;2;0;0
852;1;0;0
851;3;0;0
850;0;0;0
849;2;0;0
848;1;0;0
847;3;0;0
846;0;0;0
845;2;0;0
844;1;0;0
843;3;0;0
842;0;0;0
841;2;0;0
840;1;0;0
839;3;0;0
838;0;0;0
837;2;0;0
836;1;0;0
835;3;0;0
834;0;0;0
833;2;0;0
832;1;0;0
831;3;0;0
830;0;0;0
829;2;0;0
828;1;0;0
827;3;0;0
826;0;0;0
825;2;0;0
824;1;0;0
823;3;0;0
822;0;0;0
821;2;0;0
820;1;0;0
819;3;0;0
818;0;0;0
817;2;0;0
816;1;0;0
815;3;0;0
814;0;0;0
813;2;0;0
812;1;0;0
811;3;0;0
810;0;0;0
809;2;0;0
808;1;0;0
807;3;0;0
806;0;0;0
805;2;0;0
804;1;0;0
803;3;0;0
802;0;0;0
801;2;0;0
800;1;0;0
799;3;0;0
798;0;0;0
797;2;0;0
796;1;0;0
795;3;0;0
794;0;0;0
793;2;0;0
792;1;0;0
791;3;0;0
790;0;0;0
789;2;0;0
788;1;0;0
787;3;0;0
786;0;0;0
785;2;0;0
784;1;0;0
783;3;0;0
782;0;0;0
781;2;0;0
780;1;0;0
779;3;0;0
778;0;0;0
777;2;0;0
776;1;0;0
775;3;0;0
774;0;0;0
773;2;0;0
772;1;0;0
771;3;0;0
770;0;0;0
769;2;0;0
768;1;0;0
767;3;0;0
766;0;0;0
765;2;0;0
764;1;0;0
763;3;0;0
762;0;0;0
761;2;0;0
760;1;0;0
759;3;0;0
758;0;0;0
757;2;0;0
756;1;0;0
755;3;0;0
754;0;0;0
753;2;0;0
752;1;0;0
751;3;0;0
750;0;0;0
749;2;0;0
748;1;0;0
747;3;0;0
746;0;0;0
745;2;0;0
744;1;0;0
743;3;0;0
742;0;0;0
741;2;0;0
740;1;0;0
739;3;0;0
738;0;0;0
737;2;0;0
736;1;0;0
735;3;0;0
734;0;0;0
733;2;0;0
732;1;0;0
731;3;0;0
730;0;0;0
729;2;0;0
728;1;0;0
727;3;0;0
726;0;0;0
725;2;0;0
724;1;0;0
723;3;0;0
722;0;0;0
721;2;0;0
720;1;0;0
719;3;0;0
718;0;0;0
717;2;0;0
716;1;0;0
715;3;0;0
714;0;0;0
713;2;0;0
712;1;0;0
711;3;0;0
710;0;0;0
709;2;0;0
708;1;0;0
707;3;0;0
706;0;0;0
705;2;0;0
704;1;0;0
703;3;0;0
702;0;0;0
701;2;0;0
700;1;0;0
699;3;0;0
698;0;0;0
697;2;0;0
696;1;0;0
695;3;0;0
694;0;0;0
693;2;0;0
692;1;0;0
691;3;0;0
690;0;0;0
689;2;0;0
688;1;0;0
687;3;0;0
686;0;0;0
685;2;0;0
684;1;0;0
683;3;0;0
682;0;0;0
681;2;0;0
680;1;0;0
679;3;0;0
678;0;0;0
677;2;0;0
676;1;0;0
675;3;0;0
674;0;0;0
673;2;0;0
672;1;0;0
671;3;0;0
670;0;0;0
669;2;0;0
668;1;0;0
667;3;0;0
666;0;0;0
665;2;0;0
664;1;0;0
663;3;0;0
662;0;0;0
661;2;0;0
660;1;0;0
659;3;0;0
658;0;0;0
657;2;0;0
656;1;0;0
655;3;0;0
654;0;0;0
653;2;0;0
652;1;0;0
651;3;0;0
650;0;0;0
649;2;0;0
648;1;0;0
647;3;0;0
646;0;0;0
645;2;0;0
644;1;0;0
643;3;0;0
642;0;0;0
641;2;0;0
640;1;0;0
639;3;0;0
638;0;0;0
637;2;0;0
636;1;0;0
635;3;0;0
634;0;0;0
633;2;0;0
632;1;0;0
631;3;0;0
630;0;0;0
629;2;0;0
628;1;0;0
627;3;0;0
626;0;0;0
625;2;0;0
624;1;0;0
623;3;0;0
622;0;0;0
621;2;0;0
620;1;0;0
619;3;0;0
618;0;0;0
617;2;0;0
616;1;0;0
615;3;0;0
614;0;0;0
613;2;0;0
612;1;0;0
611;3;0;0
610;0;0;0
609;2;0;0
608;1;0;0
607;3;0;0
606;0;0;0
605;2;0;0
604;1;0;0
603;3;0;0
602;0;0;0
601;2;0;0
600;1;0;0
599;3;0;0
598;0;0;0
597;2;0;0
596;1;0;0
595;3;0;0
594;0;0;0
593;2;0;0
592;1;0;0
591;3;0;0
590;0;0;0
589;2;0;0
588;1;0;0
587;3;0;0
586;0;0;0
585;2;0;0
584;1;0;0
583;3;0;0
582;0;0;0
581;2;0;0
580;1;0;0
579;3;0;0
578;0;0;0
577;2;0;0
576;1;0;0
575;3;0;0
574;0;0;0
573;2;0;0
572;1;0;0
571;3;0;0
570;0;0;0
569;2;0;0
568;1;0;0
567;3;0;0
566;0;0;0
565;2;0;0
564;1;0;0
563;3;0;0
562;0;0;0
561;2;0;0
560;1;0;0
559;3;0;0
558;0;0;0
557;2;0;0
556;1;0;0
555;3;0;0
554;0;0;0
553;2;0;0
552;1;0;0
551;3;0;0
550;0;0;0
549;2;0;0
548;1;0;0
547;3;0;0
546;0;0;0
545;2;0;0
544;1;0;0
543;3;0;0
542;0;0;0
541;2;0;0
540;1;0;0
539;3;0;0
538;0;0;0
537;2;0;0
536;1;0;0
535;3;0;0
534;0;0;0
533;2;0;0
532;1;0;0
531;3;0;0
530;0;0;0
529;2;0;0
528;1;0;0
527;3;0;0
526;0;0;0
525;2;0;0
524;1;0;0
523;3;0;0
522;0;0;0
521;2;0;0
520;1;0;0
519;3;0;0
518;0;0;0
517;2;0;0
516;1;0;0
515;3;0;0
514;0;0;0
513;2;0;0
512;1;0;0
511;3;0;0
510;0;0;0
509;2;0;0
508;1;0;0
507;3;0;0
506;0;0;0
505;2;0;0
504;1;0;0
503;3;0;0
502;0;0;0
501;2;0;0
500;1;0;0
499;3;0;0
498;0;0;0
497;2;0;0
496;1;0;0
495;3;0;0
494;0;0;0
493;2;0;0
492;1;0;0
491;3;0;0
490;0;0;0
489;2;0;0
488;1;0;0
487;3;0;0
486;0;0;0
485;2;0;0
484;1;0;0
483;3;0;0
482;0;0;0
481;2;0;0
480;1;0;0
479;3;0;0
478;0;0;0
477;2;0;0
476;1;0;0
475;3;0;0
474;0;0;0
473;2;0;0
472;1;0;0
471;3;0;0
470;0;0;0
469;2;0;0
468;1;0;0
467;3;0;0
466;0;0;0
465;2;0;0
464;1;0;0
463;3;0;0
462;0;0;0
461;2;0;0
460;1;0;0
459;3;0;0
458;0;0;0
457;2;0;0
456;1;0;0
455;3;0;0
454;0;0;0
453;2;0;0
452;1;0;0
451;3;0;0
450;0;0;0
449;2;0;0
448;1;0;0
447;3;0;0
446;0;0;0
445;2;0;0
444;1;0;0
443;3;0;0
442;0;0;0
441;2;0;0
440;1;0;0
439;3;0;0
438;0;0;0
437;2;0;0
436;1;0;0
435;3;0;0
434;0;0;0
433;2;0;0
432;1;0;0
431;3;0;0
430;0;0;0
429;2;0;0
428;1;0;0
427;3;0;0
426;0;0;0
425;2;0;0
424;1;0;0
423;3;0;0
422;0;0;0
421;2;0;0
420;1;0;0
419;3;0;0
418;0;0;0
417;2;0;0
416;1;0;0
415;3;0;0
414;0;0;0
413;2;0;0
412;1;0;0
411;3;0;0
410;0;0;0
409;2;0;0
408;1;0;0
407;3;0;0
406;0;0;0
405;2;0;0
404;1;0;0
403;3;0;0
402;0;0;0
401;2;0;0
400;1;0;0
399;3;0;0
398;0;0;0
397;2;0;0
396;1;0;0
395;3;0;0
394;0;0;0
393;2;0;0
392;1;0;0
391;3;0;0
390;0;0;0
389;2;0;0
388;1;0;0
387;3;0;0
386;0;0;0
385;2;0;0
384;1;0;0
383;3;0;0
382;0;0;0
381;2;0;0
380;1;0;0
379;3;0;0
378;0;0;0
377;2;0;0
376;1;0;0
375;3;0;0
374;0;0;0
373;2;0;0
372;1;0;0
371;3;0;0
370;0;0;0
369;2;0;0
368;1;0;0
367;3;0;0
366;0;0;0
365;2;0;0
364;1;0;0
363;3;0;0
362;0;0;0
361;2;0;0
360;1;0;0
359;3;0;0
358;0;0;0
357;2;0;0
356;1;0;0
355;3;0;0
354;0;0;0
353;2;0;0
352;1;0;0
351;3;0;0
350;0;0;0
349;2;0;0
348;1;0;0
347;3;0;0
346;0;0;0
345;2;0;0
344;1;0;0
343;3;0;0
342;0;0;0
341;2;0;0
340;1;0;0
339;3;0;0
338;0;0;0
337;2;0;0
336;1;0;0
335;3;0;0
334;0;0;0
333;2;0;0
332;1;0;0
331;3;0;0
330;0;0;0
329;2;0;0
328;1;0;0
327;3;0;0
326;0;0;0
325;2;0;0
324;1;0;0
323;3;0;0
322;0;0;0
321;2;0;0
320;1;0;0
319;3;0;0
318;0;0;0
317;2;0;0
316;1;0;0
315;3;0;0
314;0;0;0
313;2;0;0
312;1;0;0
311;3;0;0
310;0;0;0
309;2;0;0
308;1;0;0
307;3;0;0
306;0;0;0
305;2;0;0
304;1;0;0
303;3;0;0
302;0;0;0
301;2;0;0
300;1;0;0
299;3;0;0
298;0;0;0
297;2;0;0
296;1;0;0
295;3;0;0
294;0;0;0
293;2;0;0
292;1;0;0
291;3;0;0
290;0;0;0
289;2;0;0
288;1;0;0
287;3;0;0
286;0;0;0
285;2;0;0
284;1;0;0
283;3;0;0
282;0;0;0
281;2;0;0
280;1;0;0
279;3;0;0
278;0;0;0
277;2;0;0
276;1;0;0
275;3;0;0
274;0;0;0
273;2;0;0
272;1;0;0
271;3;0;0
270;0;0;0
269;2;0;0
268;1;0;0
267;3;0;0
266;0;0;0
265;2;0;0
264;1;0;0
263;3;0;0
262;0;0;0
261;2;0;0
260;1;0;0
259;3;0;0
258;0;0;0
257;2;0;0
256;1;0;0
255;3;0;0
254;0;0;0
253;2;0;0
252;1;0;0
251;3;0;0
250;0;0;0
249;2;0;0
248;1;0;0
247;3;0;0
246;0;0;0
245;2;0;0
244;1;0;0
243;3;0;0
242;0;0;0
241;2;0;0
240;1;0;0
239;3;0;0
238;0;0;0
237;2;0;0
236;1;0;0
235;3;0;0
234;0;0;0
233;2;0;0
232;1;0;0
231;3;0;0
230;0;0;0
229;2;0;0
228;1;0;0
227;3;0;0
226;0;0;0
225;2;0;0
224;1;0;0
223;3;0;0
222;0;0;0
221;2;0;0
220;1;0;0
219;3;0;0
218;0;0;0
217;2;0;0
216;1;0;0
215;3;0;0
214;0;0;0
213;2;0;0
212;1;0;0
211;3;0;0
210;0;0;0
209;2;0;0
208;1;0;0
207;3;0;0
206;0;0;0
205;2;0;0
204;1;0;0
203;3;0;0
202;0;0;0
201;2;0;0
200;1;0;0
199;3;0;0
198;0;0;0
197;2;0;0
196;1;0;0
195;3;0;0
194;0;0;0
193;2;0;0
192;1;0;0
191;3;0;0
190;0;0;0
189;2;0;0
188;1;0;0
187;3;0;0
186;0;0;0
185;2;0;0
184;1;0;0
183;3;0;0
182;0;0;0
181;2;0;0
180;1;0;0
179;3;0;0
178;0;0;0
177;2;0;0
176;1;0;0
175;3;0;0
174;0;0;0
173;2;0;0
172;1;0;0
171;3;0;0
170;0;0;0
169;2;0;0
168;1;0;0
167;3;0;0
166;0;0;0
165;2;0;0
164;1;0;0
163;3;0;0
162;0;0;0
161;2;0;0
160;1;0;0
159;3;0;0
158;0;0;0
157;2;0;0
156;1;0;0
155;3;0;0
154;0;0;0
153;2;0;0
152;1;0;0
151;3;0;0
150;0;0;0
149;2;0;0
148;1;0;0
147;3;0;0
146;0;0;0
145;2;0;0
144;1;0;0
143;3;0;0
142;0;0;0
141;2;0;0
140;1;0;0
139;3;0;0
138;0;0;0
137;2;0;0
136;1;0;0
135;3;0;0
134;0;0;0
133;2;0;0
132;1;0;0
131;3;0;0
130;0;0;0
129;2;0;0
128;1;0;0
127;3;0;0
126;0;0;0
125;2;0;0
124;1;0;0
123;3;0;0
122;0;0;0
121;2;0;0
120;1;0;0
119;3;0;0
118;0;0;0
117;2;0;0
116;1;0;0
115;3;0;0
114;0;0;0
113;2;0;0
112;1;0;0
111;3;0;0
110;0;0;0
109;2;0;0
108;1;0;0
107;3;0;0
106;0;0;0
105;2;0;0
104;1;0;0
103;3;0;0
102;0;0;0
101;2;0;0
100;1;0;0
99;3;0;0
98;0;0;0
97;2;0;0
96;1;0;0
95;3;0;0
94;0;0;0
93;2;0;0
92;1;0;0
91;3;0;0
90;0;0;0
89;2;0;0
88;1;0;0
87;3;0;0
86;0;0;0
85;2;0;0
84;1;0;0
83;3;0;0
82;0;0;0
81;2;0;0
80;1;0;0
79;3;0;0
78;0;0;0
77;2;0;0
76;1;0;0
75;3;0;0
74;0;0;0
73;2;0;0
72;1;0;0
71;3;0;0
70;0;0;0
69;2;0;0
68;1;0;0
67;3;0;0
66;0;0;0
65;2;0;0
64;1;0;0
63;3;0;0
62;0;0;0
61;2;0;0
60;1;0;0
59;3;0;0
58;0;0;0
57;2;0;0
56;1;0;0
55;3;0;0
54;0;0;0
53;2;0;0
52;1;0;0
51;3;0;0
50;0;0;0
49;2;0;0
48;1;0;0
47;3;0;0
46;0;0;0
45;2;0;0
44;1;0;0
43;3;0;0
42;0;0;0
41;2;0;0
40;1;0;0
39;3;0;0
38;0;0;0
37;2;0;0
36;1;0;0
35;3;0;0
34;0;0;0
33;2;0;0
32;1;0;0
31;3;0;0
30;0;0;0
29;2;0;0
28;1;0;0
27;3;0;0
26;0;0;0
25;2;0;0
24;1;0;0
23;3;0;0
22;0;0;0
21;2;0;0
20;1;0;0
19;3;0;0
18;0;0;0
17;2;0;0
16;1;0;0
15;3;0;0
14;0;0;0
13;2;0;0
12;1;0;0
11;3;0;0
10;0;0;0
9;2;0;0
8;1;0;0
7;3;0;0
6;0;0;0
5;2;0;0
4;1;0;0
3;3;0;0
2;0;0;0
1;2;0;0
