Pixel;Row;Correction Value Signed;Correction Value Unsigned
2016;3;0;0
2015;2;0;0
2014;1;0;0
2013;2;0;0
2012;0;0;0
2011;3;0;0
2010;1;0;0
2009;2;0;0
2008;0;0;0
2007;3;0;0
2006;1;0;0
2005;2;0;0
2004;0;0;0
2003;3;0;0
2002;1;0;0
2001;2;0;0
2000;0;0;0
1999;3;0;0
1998;1;0;0
1997;2;0;0
1996;0;0;0
1995;3;0;0
1994;1;0;0
1993;2;0;0
1992;0;0;0
1991;3;0;0
1990;1;0;0
1989;2;0;0
1988;0;0;0
1987;3;0;0
1986;1;0;0
1985;2;0;0
1984;0;0;0
1983;3;0;0
1982;1;0;0
1981;2;0;0
1980;0;0;0
1979;3;0;0
1978;1;0;0
1977;2;0;0
1976;0;0;0
1975;3;0;0
1974;1;0;0
1973;2;0;0
1972;0;0;0
1971;3;0;0
1970;1;0;0
1969;2;0;0
1968;0;0;0
1967;3;0;0
1966;1;0;0
1965;2;0;0
1964;0;0;0
1963;3;0;0
1962;1;0;0
1961;2;0;0
1960;0;0;0
1959;3;0;0
1958;1;0;0
1957;2;0;0
1956;0;0;0
1955;3;0;0
1954;1;0;0
1953;2;0;0
1952;0;0;0
1951;3;0;0
1950;1;0;0
1949;2;0;0
1948;0;0;0
1947;3;0;0
1946;1;0;0
1945;2;0;0
1944;0;0;0
1943;3;0;0
1942;1;0;0
1941;2;0;0
1940;0;0;0
1939;3;0;0
1938;1;0;0
1937;2;0;0
1936;0;0;0
1935;3;0;0
1934;1;0;0
1933;2;0;0
1932;0;0;0
1931;3;0;0
1930;1;0;0
1929;2;0;0
1928;0;0;0
1927;3;0;0
1926;1;0;0
1925;2;0;0
1924;0;0;0
1923;3;0;0
1922;1;0;0
1921;2;0;0
1920;0;0;0
1919;3;0;0
1918;1;0;0
1917;2;0;0
1916;0;0;0
1915;3;0;0
1914;1;0;0
1913;2;0;0
1912;0;0;0
1911;3;0;0
1910;1;0;0
1909;2;0;0
1908;0;0;0
1907;3;0;0
1906;1;0;0
1905;2;0;0
1904;0;0;0
1903;3;0;0
1902;1;0;0
1901;2;0;0
1900;0;0;0
1899;3;0;0
1898;1;0;0
1897;2;0;0
1896;0;0;0
1895;3;0;0
1894;1;0;0
1893;2;0;0
1892;0;0;0
1891;3;0;0
1890;1;0;0
1889;2;0;0
1888;0;0;0
1887;3;0;0
1886;1;0;0
