Pixel;Row;Correction Value Signed;Correction Value Unsigned
545;1;19;19
544;3;6;6
543;0;24;24
542;2;11;11
541;1;19;19
540;3;6;6
539;0;24;24
538;2;11;11
537;1;19;19
536;3;6;6
535;0;24;24
534;2;11;11
533;1;19;19
532;3;6;6
531;0;24;24
530;2;11;11
529;1;19;19
528;3;6;6
527;0;24;24
526;2;11;11
525;1;19;19
524;3;6;6
523;0;24;24
522;2;11;11
521;1;19;19
520;3;6;6
519;0;24;24
518;2;11;11
517;1;19;19
516;3;6;6
515;0;24;24
514;2;11;11
513;1;19;19
512;3;6;6
511;0;24;24
510;2;11;11
509;1;19;19
508;3;6;6
507;0;24;24
506;2;11;11
505;1;19;19
504;3;6;6
503;0;24;24
502;2;11;11
501;1;19;19
500;3;6;6
499;0;24;24
498;2;11;11
497;1;19;19
496;3;6;6
495;0;24;24
494;2;11;11
493;1;19;19
492;3;6;6
491;0;24;24
490;2;11;11
489;1;19;19
488;3;6;6
487;0;24;24
486;2;11;11
485;1;19;19
484;3;6;6
483;0;24;24
482;2;11;11
481;1;19;19
480;3;6;6
479;0;25;25
478;2;11;11
477;1;19;19
476;3;5;5
475;0;25;25
474;2;11;11
473;1;19;19
472;3;5;5
471;0;25;25
470;2;11;11
469;1;19;19
468;3;5;5
467;0;25;25
466;2;11;11
465;1;19;19
464;3;5;5
463;0;25;25
462;2;11;11
461;1;19;19
460;3;5;5
459;0;25;25
458;2;11;11
457;1;19;19
456;3;5;5
455;0;25;25
454;2;11;11
453;1;19;19
452;3;5;5
451;0;25;25
450;2;11;11
449;1;19;19
448;3;5;5
447;0;25;25
446;2;11;11
445;1;19;19
444;3;5;5
443;0;25;25
442;2;11;11
441;1;19;19
440;3;5;5
439;0;25;25
438;2;11;11
437;1;19;19
436;3;5;5
435;0;25;25
434;2;11;11
433;1;19;19
432;3;5;5
431;0;25;25
430;2;11;11
429;1;19;19
428;3;5;5
427;0;25;25
426;2;11;11
425;1;19;19
424;3;5;5
423;0;25;25
422;2;11;11
421;1;19;19
420;3;5;5
419;0;25;25
418;2;11;11
417;1;19;19
416;3;5;5
415;0;25;25
414;2;11;11
413;1;19;19
412;3;5;5
411;0;25;25
410;2;11;11
409;1;19;19
408;3;5;5
407;0;25;25
406;2;11;11
405;1;19;19
404;3;5;5
403;0;25;25
402;2;11;11
401;1;19;19
400;3;5;5
399;0;25;25
398;2;11;11
397;1;19;19
396;3;5;5
395;0;25;25
394;2;11;11
393;1;19;19
392;3;5;5
391;0;26;26
390;2;11;11
389;1;19;19
388;3;4;4
387;0;26;26
386;2;11;11
385;1;19;19
384;3;4;4
383;0;26;26
382;2;11;11
381;1;19;19
380;3;4;4
379;0;26;26
378;2;11;11
377;1;19;19
376;3;4;4
375;0;26;26
374;2;11;11
373;1;19;19
372;3;4;4
371;0;26;26
370;2;11;11
369;1;19;19
368;3;4;4
367;0;26;26
366;2;11;11
365;1;19;19
364;3;4;4
363;0;26;26
362;2;11;11
361;1;19;19
360;3;4;4
359;0;26;26
358;2;11;11
357;1;19;19
356;3;4;4
355;0;26;26
354;2;11;11
353;1;19;19
352;3;4;4
351;0;26;26
350;2;11;11
349;1;19;19
348;3;4;4
347;0;26;26
346;2;11;11
345;1;19;19
344;3;4;4
343;0;26;26
342;2;11;11
341;1;19;19
340;3;4;4
339;0;26;26
338;2;11;11
337;1;19;19
336;3;4;4
335;0;26;26
334;2;11;11
333;1;19;19
332;3;4;4
331;0;26;26
330;2;11;11
329;1;19;19
328;3;4;4
327;0;26;26
326;2;10;10
325;1;20;20
324;3;4;4
323;0;26;26
322;2;10;10
321;1;20;20
320;3;4;4
319;0;26;26
318;2;10;10
317;1;20;20
316;3;4;4
315;0;26;26
314;2;10;10
313;1;20;20
312;3;4;4
311;0;26;26
310;2;10;10
309;1;20;20
308;3;4;4
307;0;26;26
306;2;10;10
305;1;20;20
304;3;3;3
303;0;27;27
302;2;10;10
301;1;20;20
300;3;3;3
299;0;27;27
298;2;10;10
297;1;20;20
296;3;3;3
295;0;27;27
294;2;10;10
293;1;20;20
292;3;3;3
291;0;27;27
290;2;10;10
289;1;20;20
288;3;3;3
287;0;27;27
286;2;10;10
285;1;20;20
284;3;3;3
283;0;27;27
282;2;10;10
281;1;20;20
280;3;3;3
279;0;27;27
278;2;10;10
277;1;20;20
276;3;3;3
275;0;27;27
274;2;10;10
273;1;20;20
272;3;3;3
271;0;27;27
270;2;10;10
269;1;20;20
268;3;3;3
267;0;27;27
266;2;10;10
265;1;20;20
264;3;3;3
263;0;27;27
262;2;10;10
261;1;20;20
260;3;3;3
259;0;27;27
258;2;10;10
257;1;20;20
256;3;3;3
255;0;27;27
254;2;10;10
253;1;20;20
252;3;3;3
251;0;27;27
250;2;10;10
249;1;20;20
248;3;3;3
247;0;27;27
246;2;10;10
245;1;20;20
244;3;3;3
243;0;27;27
242;2;10;10
241;1;20;20
240;3;3;3
239;0;27;27
238;2;10;10
237;1;20;20
236;3;3;3
235;0;27;27
234;2;10;10
233;1;20;20
232;3;3;3
231;0;27;27
230;2;10;10
229;1;20;20
228;3;3;3
227;0;27;27
226;2;10;10
225;1;20;20
224;3;2;2
223;0;28;28
222;2;10;10
221;1;20;20
220;3;2;2
219;0;28;28
218;2;10;10
217;1;20;20
216;3;2;2
215;0;28;28
214;2;10;10
213;1;20;20
212;3;2;2
211;0;28;28
210;2;10;10
209;1;20;20
208;3;2;2
207;0;28;28
206;2;10;10
205;1;20;20
204;3;2;2
203;0;28;28
202;2;10;10
201;1;20;20
200;3;2;2
199;0;28;28
198;2;10;10
197;1;20;20
196;3;2;2
195;0;28;28
194;2;10;10
193;1;20;20
192;3;2;2
191;0;28;28
190;2;10;10
189;1;20;20
188;3;2;2
187;0;28;28
186;2;10;10
185;1;20;20
184;3;2;2
183;0;28;28
182;2;10;10
181;1;20;20
180;3;2;2
179;0;28;28
178;2;10;10
177;1;20;20
176;3;2;2
175;0;28;28
174;2;10;10
173;1;20;20
172;3;2;2
171;0;28;28
170;2;10;10
169;1;20;20
168;3;2;2
167;0;28;28
166;2;10;10
165;1;20;20
164;3;2;2
163;0;28;28
162;2;10;10
161;1;20;20
160;3;2;2
159;0;28;28
158;2;10;10
157;1;20;20
156;3;2;2
155;0;28;28
154;2;10;10
153;1;20;20
152;3;2;2
151;0;28;28
150;2;10;10
149;1;20;20
148;3;2;2
147;0;28;28
146;2;10;10
145;1;20;20
144;3;1;1
143;0;29;29
142;2;10;10
141;1;20;20
140;3;1;1
139;0;29;29
138;2;10;10
137;1;20;20
136;3;1;1
135;0;29;29
134;2;10;10
133;1;20;20
132;3;1;1
131;0;29;29
130;2;10;10
129;1;20;20
128;3;1;1
127;0;29;29
126;2;9;9
125;1;21;21
124;3;1;1
123;0;29;29
122;2;9;9
121;1;21;21
120;3;1;1
119;0;29;29
118;2;9;9
117;1;21;21
116;3;1;1
115;0;29;29
114;2;9;9
113;1;21;21
112;3;1;1
111;0;29;29
110;2;9;9
109;1;21;21
108;3;1;1
107;0;29;29
106;2;9;9
105;1;21;21
104;3;1;1
103;0;29;29
102;2;9;9
101;1;21;21
100;3;1;1
99;0;29;29
98;2;9;9
97;1;21;21
96;3;1;1
95;0;29;29
94;2;9;9
93;1;21;21
92;3;1;1
91;0;29;29
90;2;9;9
89;1;21;21
88;3;1;1
87;0;29;29
86;2;9;9
85;1;21;21
84;3;1;1
83;0;29;29
82;2;9;9
81;1;21;21
80;3;1;1
79;0;29;29
78;2;9;9
77;1;21;21
76;3;1;1
75;0;29;29
74;2;9;9
73;1;21;21
72;3;1;1
71;0;29;29
70;2;9;9
69;1;21;21
68;3;0;0
67;0;30;30
66;2;9;9
65;1;21;21
64;3;0;0
63;0;30;30
62;2;9;9
61;1;21;21
60;3;0;0
59;0;30;30
58;2;9;9
57;1;21;21
56;3;0;0
55;0;30;30
54;2;9;9
53;1;21;21
52;3;0;0
51;0;30;30
50;2;9;9
49;1;21;21
48;3;0;0
47;0;30;30
46;2;9;9
45;1;21;21
44;3;0;0
43;0;30;30
42;2;9;9
41;1;21;21
40;3;0;0
39;0;30;30
38;2;9;9
37;1;21;21
36;3;0;0
35;0;30;30
34;2;9;9
33;1;21;21
32;3;0;0
31;0;30;30
30;2;9;9
29;1;21;21
28;3;0;0
27;0;30;30
26;2;9;9
25;1;21;21
24;3;0;0
23;0;30;30
22;2;9;9
21;1;21;21
20;3;0;0
19;0;30;30
18;2;9;9
17;1;21;21
16;3;0;0
15;0;30;30
14;2;9;9
13;1;21;21
12;3;0;0
11;0;30;30
10;2;9;9
9;1;21;21
8;3;0;0
7;0;30;30
6;2;9;9
5;1;21;21
4;3;0;0
3;0;30;30
2;2;9;9
1;1;21;21
479;3;15;15
478;2;15;15
477;1;15;15
476;0;15;15
475;3;15;15
474;2;15;15
473;1;15;15
472;0;15;15
471;3;15;15
470;2;15;15
469;1;15;15
468;0;15;15
467;3;15;15
466;2;15;15
465;1;15;15
464;0;15;15
463;3;15;15
462;2;15;15
461;1;15;15
460;0;15;15
459;3;15;15
458;2;15;15
457;1;15;15
456;0;15;15
455;3;15;15
454;2;15;15
453;1;15;15
452;0;15;15
451;3;15;15
450;2;15;15
449;1;15;15
448;0;15;15
447;3;15;15
446;2;15;15
445;1;15;15
444;0;15;15
443;3;15;15
442;2;15;15
441;1;15;15
440;0;15;15
439;3;15;15
438;2;15;15
437;1;15;15
436;0;15;15
435;3;15;15
434;2;15;15
433;1;15;15
432;0;15;15
431;3;15;15
430;2;15;15
429;1;15;15
428;0;15;15
427;3;15;15
426;2;15;15
425;1;15;15
424;0;15;15
423;3;15;15
422;2;15;15
421;1;15;15
420;0;15;15
419;3;15;15
418;2;15;15
417;1;15;15
416;0;15;15
415;3;15;15
414;2;15;15
413;1;15;15
412;0;15;15
411;3;15;15
410;2;15;15
409;1;15;15
408;0;15;15
407;3;15;15
406;2;15;15
405;1;15;15
404;0;15;15
403;3;15;15
402;2;15;15
401;1;15;15
400;0;15;15
399;3;15;15
398;2;15;15
397;1;15;15
396;0;15;15
395;3;15;15
394;2;15;15
393;1;15;15
392;0;15;15
391;3;15;15
390;2;15;15
389;1;15;15
388;0;15;15
387;3;15;15
386;2;15;15
385;1;15;15
384;0;15;15
383;3;15;15
382;2;15;15
381;1;15;15
380;0;15;15
379;3;15;15
378;2;15;15
377;1;15;15
376;0;15;15
375;3;15;15
374;2;15;15
373;1;15;15
372;0;15;15
371;3;15;15
370;2;15;15
369;1;15;15
368;0;15;15
367;3;15;15
366;2;15;15
365;1;15;15
364;0;15;15
363;3;15;15
362;2;15;15
361;1;15;15
360;0;15;15
359;3;15;15
358;2;15;15
357;1;15;15
356;0;15;15
355;3;15;15
354;2;15;15
353;1;15;15
352;0;15;15
351;3;15;15
350;2;15;15
349;1;15;15
348;0;15;15
347;3;15;15
346;2;15;15
345;1;15;15
344;0;15;15
343;3;15;15
342;2;15;15
341;1;15;15
340;0;15;15
339;3;15;15
338;2;15;15
337;1;15;15
336;0;15;15
335;3;15;15
334;2;15;15
333;1;15;15
332;0;15;15
331;3;15;15
330;2;15;15
329;1;15;15
328;0;15;15
327;3;15;15
326;2;15;15
325;1;15;15
324;0;15;15
323;3;15;15
322;2;15;15
321;1;15;15
320;0;15;15
319;3;15;15
318;2;15;15
317;1;15;15
316;0;15;15
315;3;15;15
314;2;15;15
313;1;15;15
312;0;15;15
311;3;15;15
310;2;15;15
309;1;15;15
308;0;15;15
307;3;15;15
306;2;15;15
305;1;15;15
304;0;15;15
303;3;15;15
302;2;15;15
301;1;15;15
300;0;15;15
299;3;15;15
298;2;15;15
297;1;15;15
296;0;15;15
295;3;15;15
294;2;15;15
293;1;15;15
292;0;15;15
291;3;15;15
290;2;15;15
289;1;15;15
288;0;15;15
287;3;15;15
286;2;15;15
285;1;15;15
284;0;15;15
283;3;15;15
282;2;15;15
281;1;15;15
280;0;15;15
279;3;15;15
278;2;15;15
277;1;15;15
276;0;15;15
275;3;15;15
274;2;15;15
273;1;15;15
272;0;15;15
271;3;15;15
270;2;15;15
269;1;15;15
268;0;15;15
267;3;15;15
266;2;15;15
265;1;15;15
264;0;15;15
263;3;15;15
262;2;15;15
261;1;15;15
260;0;15;15
259;3;15;15
258;2;15;15
257;1;15;15
256;0;15;15
255;3;15;15
254;2;15;15
253;1;15;15
252;0;15;15
251;3;15;15
250;2;15;15
249;1;15;15
248;0;15;15
247;3;15;15
246;2;15;15
245;1;15;15
244;0;15;15
243;3;15;15
242;2;15;15
241;1;15;15
240;0;15;15
239;3;15;15
238;2;15;15
237;1;15;15
236;0;15;15
235;3;15;15
234;2;15;15
233;1;15;15
232;0;15;15
231;3;15;15
230;2;15;15
229;1;15;15
228;0;15;15
227;3;15;15
226;2;15;15
225;1;15;15
224;0;15;15
223;3;15;15
222;2;15;15
221;1;15;15
220;0;15;15
219;3;15;15
218;2;15;15
217;1;15;15
216;0;15;15
215;3;15;15
214;2;15;15
213;1;15;15
212;0;15;15
211;3;15;15
210;2;15;15
209;1;15;15
208;0;15;15
207;3;15;15
206;2;15;15
205;1;15;15
204;0;15;15
203;3;15;15
202;2;15;15
201;1;15;15
200;0;15;15
199;3;15;15
198;2;15;15
197;1;15;15
196;0;15;15
195;3;15;15
194;2;15;15
193;1;15;15
192;0;15;15
191;3;15;15
190;2;15;15
189;1;15;15
188;0;15;15
187;3;15;15
186;2;15;15
185;1;15;15
184;0;15;15
183;3;15;15
182;2;15;15
181;1;15;15
180;0;15;15
179;3;15;15
178;2;15;15
177;1;15;15
176;0;15;15
175;3;15;15
174;2;15;15
173;1;15;15
172;0;15;15
171;3;15;15
170;2;15;15
169;1;15;15
168;0;15;15
167;3;15;15
166;2;15;15
165;1;15;15
164;0;15;15
163;3;15;15
162;2;15;15
161;1;15;15
160;0;15;15
159;3;15;15
158;2;15;15
157;1;15;15
156;0;15;15
155;3;15;15
154;2;15;15
153;1;15;15
152;0;15;15
151;3;15;15
150;2;15;15
149;1;15;15
148;0;15;15
147;3;15;15
146;2;15;15
145;1;15;15
144;0;15;15
143;3;15;15
142;2;15;15
141;1;15;15
140;0;15;15
139;3;15;15
138;2;15;15
137;1;15;15
136;0;15;15
135;3;15;15
134;2;15;15
133;1;15;15
132;0;15;15
131;3;15;15
130;2;15;15
129;1;15;15
128;0;15;15
127;3;15;15
126;2;15;15
125;1;15;15
124;0;15;15
123;3;15;15
122;2;15;15
121;1;15;15
120;0;15;15
119;3;15;15
118;2;15;15
117;1;15;15
116;0;15;15
115;3;15;15
114;2;15;15
113;1;15;15
112;0;15;15
111;3;15;15
110;2;15;15
109;1;15;15
108;0;15;15
107;3;15;15
106;2;15;15
105;1;15;15
104;0;15;15
103;3;15;15
102;2;15;15
101;1;15;15
100;0;15;15
99;3;15;15
98;2;15;15
97;1;15;15
96;0;15;15
95;3;15;15
94;2;15;15
93;1;15;15
92;0;15;15
91;3;15;15
90;2;15;15
89;1;15;15
88;0;15;15
87;3;15;15
86;2;15;15
85;1;15;15
84;0;15;15
83;3;15;15
82;2;15;15
81;1;15;15
80;0;15;15
79;3;15;15
78;2;15;15
77;1;15;15
76;0;15;15
75;3;15;15
74;2;15;15
73;1;15;15
72;0;15;15
71;3;15;15
70;2;15;15
69;1;15;15
68;0;15;15
67;3;15;15
66;2;15;15
65;1;15;15
64;0;15;15
63;3;15;15
62;2;15;15
61;1;15;15
60;0;15;15
59;3;15;15
58;2;15;15
57;1;15;15
56;0;15;15
55;3;15;15
54;2;15;15
53;1;15;15
52;0;15;15
51;3;15;15
50;2;15;15
49;1;15;15
48;0;15;15
47;3;15;15
46;2;15;15
45;1;15;15
44;0;15;15
43;3;15;15
42;2;15;15
41;1;15;15
40;0;15;15
39;3;15;15
38;2;15;15
37;1;15;15
36;0;15;15
35;3;15;15
34;2;15;15
33;1;15;15
32;0;15;15
31;3;15;15
30;2;15;15
29;1;15;15
28;0;15;15
27;3;15;15
26;2;15;15
25;1;15;15
24;0;15;15
23;3;15;15
22;2;15;15
21;1;15;15
20;0;15;15
19;3;15;15
18;2;15;15
17;1;15;15
16;0;15;15
15;3;15;15
14;2;15;15
13;1;15;15
12;0;15;15
11;3;15;15
10;2;15;15
9;1;15;15
8;0;15;15
7;3;15;15
6;2;15;15
5;1;15;15
4;0;15;15
3;3;15;15
2;2;15;15
1;1;15;15
