Pixel;Row;Correction Value Signed;Correction Value Unsigned
2016;3;7;7
2015;2;7;7
2014;0;7;7
2013;2;7;7
2012;1;7;7
2011;3;7;7
2010;0;7;7
2009;2;7;7
2008;1;7;7
2007;3;7;7
2006;0;7;7
2005;2;7;7
2004;1;7;7
2003;3;7;7
2002;0;7;7
2001;2;7;7
2000;1;7;7
1999;3;7;7
1998;0;7;7
1997;2;7;7
1996;1;7;7
1995;3;7;7
1994;0;7;7
1993;2;7;7
1992;1;7;7
1991;3;7;7
1990;0;7;7
1989;2;7;7
1988;1;7;7
1987;3;7;7
1986;0;7;7
1985;2;7;7
1984;1;7;7
1983;3;7;7
1982;0;7;7
1981;2;7;7
1980;1;7;7
1979;3;7;7
1978;0;7;7
1977;2;7;7
1976;1;7;7
1975;3;7;7
1974;0;7;7
1973;2;7;7
1972;1;7;7
1971;3;7;7
1970;0;7;7
1969;2;7;7
1968;1;7;7
1967;3;7;7
1966;0;7;7
1965;2;7;7
1964;1;7;7
1963;3;7;7
1962;0;7;7
1961;2;7;7
1960;1;7;7
1959;3;7;7
1958;0;7;7
1957;2;7;7
1956;1;7;7
1955;3;7;7
1954;0;7;7
1953;2;7;7
1952;1;7;7
1951;3;7;7
1950;0;7;7
1949;2;7;7
1948;1;7;7
1947;3;7;7
1946;0;7;7
1945;2;7;7
1944;1;7;7
1943;3;7;7
1942;0;7;7
1941;2;7;7
1940;1;7;7
1939;3;7;7
1938;0;7;7
1937;2;7;7
1936;1;7;7
1935;3;7;7
1934;0;7;7
1933;2;7;7
1932;1;7;7
1931;3;7;7
1930;0;7;7
1929;2;7;7
1928;1;7;7
1927;3;7;7
1926;0;7;7
1925;2;7;7
1924;1;7;7
1923;3;7;7
1922;0;7;7
1921;2;7;7
1920;1;7;7
1919;3;7;7
1918;0;7;7
1917;2;7;7
1916;1;7;7
1915;3;7;7
1914;0;7;7
1913;2;7;7
1912;1;7;7
1911;3;7;7
1910;0;7;7
1909;2;7;7
1908;1;7;7
1907;3;7;7
1906;0;7;7
1905;2;7;7
1904;1;7;7
1903;3;7;7
1902;0;7;7
1901;2;7;7
1900;1;7;7
1899;3;7;7
1898;0;7;7
1897;2;7;7
1896;1;7;7
1895;3;7;7
1894;0;7;7
1893;2;7;7
1892;1;7;7
1891;3;7;7
1890;0;7;7
1889;2;7;7
1888;1;7;7
1887;3;7;7
1886;0;7;7
1885;2;7;7
1884;1;7;7
1883;3;7;7
1882;0;7;7
1881;2;7;7
1880;1;7;7
1879;3;7;7
1878;0;7;7
1877;2;7;7
1876;1;7;7
1875;3;7;7
1874;0;7;7
1873;2;7;7
1872;1;7;7
1871;3;7;7
1870;0;7;7
1869;2;7;7
1868;1;7;7
1867;3;7;7
1866;0;7;7
1865;2;7;7
1864;1;7;7
1863;3;7;7
1862;0;7;7
1861;2;7;7
1860;1;7;7
1859;3;7;7
1858;0;7;7
1857;2;7;7
1856;1;7;7
1855;3;7;7
1854;0;7;7
1853;2;7;7
1852;1;7;7
1851;3;7;7
1850;0;7;7
1849;2;7;7
1848;1;7;7
1847;3;7;7
1846;0;7;7
1845;2;7;7
1844;1;7;7
1843;3;7;7
1842;0;7;7
1841;2;7;7
1840;1;7;7
1839;3;7;7
1838;0;7;7
1837;2;7;7
1836;1;7;7
1835;3;7;7
1834;0;7;7
1833;2;7;7
1832;1;7;7
1831;3;7;7
1830;0;7;7
1829;2;7;7
1828;1;7;7
1827;3;7;7
1826;0;7;7
1825;2;7;7
1824;1;7;7
1823;3;7;7
1822;0;7;7
1821;2;7;7
1820;1;7;7
1819;3;7;7
1818;0;7;7
1817;2;7;7
1816;1;7;7
1815;3;6;6
1814;0;8;8
1813;2;7;7
1812;1;7;7
1811;3;6;6
1810;0;8;8
1809;2;7;7
1808;1;7;7
1807;3;6;6
1806;0;8;8
1805;2;7;7
1804;1;7;7
1803;3;6;6
1802;0;8;8
1801;2;7;7
1800;1;7;7
1799;3;6;6
1798;0;8;8
1797;2;7;7
1796;1;7;7
1795;3;6;6
1794;0;8;8
1793;2;7;7
1792;1;7;7
1791;3;6;6
1790;0;8;8
1789;2;7;7
1788;1;7;7
1787;3;6;6
1786;0;8;8
1785;2;7;7
1784;1;7;7
1783;3;6;6
1782;0;8;8
1781;2;7;7
1780;1;7;7
1779;3;6;6
1778;0;8;8
1777;2;7;7
1776;1;7;7
1775;3;6;6
1774;0;8;8
1773;2;7;7
1772;1;7;7
1771;3;6;6
1770;0;8;8
1769;2;7;7
1768;1;7;7
1767;3;6;6
1766;0;8;8
1765;2;7;7
1764;1;7;7
1763;3;6;6
1762;0;8;8
1761;2;7;7
1760;1;7;7
1759;3;6;6
1758;0;8;8
1757;2;7;7
1756;1;7;7
1755;3;6;6
1754;0;8;8
1753;2;7;7
1752;1;7;7
1751;3;6;6
1750;0;8;8
1749;2;7;7
1748;1;7;7
1747;3;6;6
1746;0;8;8
1745;2;7;7
1744;1;7;7
1743;3;6;6
1742;0;8;8
1741;2;7;7
1740;1;7;7
1739;3;6;6
1738;0;8;8
1737;2;7;7
1736;1;7;7
1735;3;6;6
1734;0;8;8
1733;2;7;7
1732;1;7;7
1731;3;6;6
1730;0;8;8
1729;2;7;7
1728;1;7;7
1727;3;6;6
1726;0;8;8
1725;2;7;7
1724;1;7;7
1723;3;6;6
1722;0;8;8
1721;2;7;7
1720;1;7;7
1719;3;6;6
1718;0;8;8
1717;2;7;7
1716;1;7;7
1715;3;6;6
1714;0;8;8
1713;2;7;7
1712;1;7;7
1711;3;6;6
1710;0;8;8
1709;2;7;7
1708;1;7;7
1707;3;6;6
1706;0;8;8
1705;2;7;7
1704;1;7;7
1703;3;6;6
1702;0;8;8
1701;2;7;7
1700;1;7;7
1699;3;6;6
1698;0;8;8
1697;2;7;7
1696;1;7;7
1695;3;6;6
1694;0;8;8
1693;2;7;7
1692;1;7;7
1691;3;6;6
1690;0;8;8
1689;2;7;7
1688;1;7;7
1687;3;6;6
1686;0;8;8
