Pixel;Row;Correction Value Signed;Correction Value Unsigned
1024;1;15;15
1023;3;7;7
1022;0;19;19
1021;2;11;11
1020;1;15;15
1019;3;7;7
1018;0;19;19
1017;2;11;11
1016;1;15;15
1015;3;7;7
1014;0;19;19
1013;2;11;11
1012;1;15;15
1011;3;7;7
1010;0;19;19
1009;2;11;11
1008;1;15;15
1007;3;7;7
1006;0;19;19
1005;2;11;11
1004;1;15;15
1003;3;7;7
1002;0;19;19
1001;2;11;11
1000;1;15;15
999;3;7;7
998;0;19;19
997;2;11;11
996;1;15;15
995;3;7;7
994;0;19;19
993;2;11;11
992;1;15;15
991;3;7;7
990;0;19;19
989;2;11;11
988;1;15;15
987;3;7;7
986;0;19;19
985;2;11;11
984;1;15;15
983;3;7;7
982;0;19;19
981;2;11;11
980;1;15;15
979;3;7;7
978;0;19;19
977;2;11;11
976;1;15;15
975;3;7;7
974;0;19;19
973;2;11;11
972;1;15;15
971;3;7;7
970;0;19;19
969;2;11;11
968;1;15;15
967;3;7;7
966;0;19;19
965;2;11;11
964;1;15;15
963;3;7;7
962;0;19;19
961;2;11;11
960;1;15;15
959;3;7;7
958;0;19;19
957;2;11;11
956;1;15;15
955;3;7;7
954;0;19;19
953;2;11;11
952;1;15;15
951;3;7;7
950;0;19;19
949;2;11;11
948;1;15;15
947;3;7;7
946;0;19;19
945;2;11;11
944;1;15;15
943;3;7;7
942;0;19;19
941;2;11;11
940;1;15;15
939;3;7;7
938;0;19;19
937;2;11;11
936;1;15;15
935;3;7;7
934;0;19;19
933;2;11;11
932;1;15;15
931;3;7;7
930;0;19;19
929;2;11;11
928;1;15;15
927;3;7;7
926;0;19;19
925;2;10;10
924;1;16;16
923;3;7;7
922;0;19;19
921;2;10;10
920;1;16;16
919;3;7;7
918;0;19;19
917;2;10;10
916;1;16;16
915;3;7;7
914;0;19;19
913;2;10;10
912;1;16;16
911;3;7;7
910;0;19;19
909;2;10;10
908;1;16;16
907;3;7;7
906;0;19;19
905;2;10;10
904;1;16;16
903;3;7;7
902;0;19;19
901;2;10;10
900;1;16;16
