Pixel;Row;Correction Value Signed;Correction Value Unsigned
2016;3;13;13
2015;2;13;13
2014;0;13;13
2013;2;13;13
2012;1;13;13
2011;3;13;13
2010;0;13;13
2009;2;13;13
2008;1;13;13
2007;3;13;13
2006;0;13;13
2005;2;13;13
2004;1;13;13
2003;3;13;13
2002;0;13;13
2001;2;13;13
2000;1;13;13
1999;3;13;13
1998;0;13;13
1997;2;13;13
1996;1;13;13
1995;3;13;13
1994;0;13;13
1993;2;13;13
1992;1;13;13
1991;3;13;13
1990;0;13;13
1989;2;13;13
1988;1;13;13
1987;3;13;13
1986;0;13;13
1985;2;13;13
1984;1;13;13
1983;3;13;13
1982;0;13;13
1981;2;13;13
1980;1;13;13
1979;3;13;13
1978;0;13;13
1977;2;13;13
1976;1;13;13
1975;3;13;13
1974;0;13;13
1973;2;13;13
1972;1;13;13
1971;3;13;13
1970;0;13;13
1969;2;13;13
1968;1;13;13
1967;3;13;13
1966;0;13;13
1965;2;13;13
1964;1;13;13
1963;3;13;13
1962;0;13;13
1961;2;13;13
1960;1;13;13
1959;3;13;13
1958;0;13;13
1957;2;13;13
1956;1;13;13
1955;3;13;13
1954;0;13;13
1953;2;13;13
1952;1;13;13
1951;3;13;13
1950;0;13;13
1949;2;13;13
1948;1;13;13
1947;3;13;13
1946;0;13;13
1945;2;13;13
1944;1;13;13
1943;3;13;13
1942;0;13;13
1941;2;13;13
1940;1;13;13
1939;3;13;13
1938;0;13;13
1937;2;13;13
1936;1;13;13
1935;3;13;13
1934;0;13;13
1933;2;13;13
1932;1;13;13
1931;3;13;13
1930;0;13;13
1929;2;13;13
1928;1;13;13
1927;3;13;13
1926;0;13;13
1925;2;13;13
1924;1;13;13
1923;3;13;13
1922;0;13;13
1921;2;13;13
1920;1;13;13
1919;3;13;13
1918;0;13;13
1917;2;13;13
1916;1;13;13
1915;3;13;13
1914;0;14;14
1913;2;13;13
1912;1;13;13
1911;3;12;12
1910;0;14;14
1909;2;13;13
1908;1;13;13
1907;3;12;12
1906;0;14;14
1905;2;13;13
1904;1;13;13
1903;3;12;12
1902;0;14;14
1901;2;13;13
1900;1;13;13
1899;3;12;12
1898;0;14;14
1897;2;13;13
1896;1;13;13
1895;3;12;12
1894;0;14;14
1893;2;13;13
1892;1;13;13
1891;3;12;12
1890;0;14;14
1889;2;13;13
1888;1;13;13
1887;3;12;12
1886;0;14;14
1885;2;13;13
1884;1;13;13
1883;3;12;12
1882;0;14;14
1881;2;13;13
1880;1;13;13
1879;3;12;12
1878;0;14;14
1877;2;13;13
1876;1;13;13
1875;3;12;12
1874;0;14;14
1873;2;13;13
1872;1;13;13
1871;3;12;12
1870;0;14;14
1869;2;13;13
1868;1;13;13
1867;3;12;12
1866;0;14;14
1865;2;13;13
1864;1;13;13
1863;3;12;12
1862;0;14;14
1861;2;13;13
1860;1;13;13
